IBLV - 2008
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;4.522,44;;4.740,57;;;4.585,66;4.578,10;4.379,82;4.263,49;;3.669,00
2;4.504,75;;;4.796,01;5.032,43;4.984,29;4.513,03;;4.369,09;4.148,16;;3.763,52
3;4.495,71;;4.760,36;4.855,57;;4.920,85;4.428,25;;4.298,47;4.007,06;3.673,66;3.816,70
4;4.402,28;;4.728,47;4.869,24;;4.948,41;4.404,06;4.528,21;4.182,79;;3.762,03;3.841,46
5;;;4.797,33;;5.110,19;5.053,17;;4.615,88;4.227,03;;3.630,32;3.865,73
6;;4.384,81;4.680,61;;5.094,47;4.938,42;;4.684,27;;3.828,58;3.610,46;
7;4.425,90;4.379,46;4.598,47;4.833,05;4.994,88;;4.383,81;4.630,26;;3.701,61;3.692,99;
8;4.514,03;4.350,61;;4.847,27;5.034,59;;4.469,93;4.615,37;4.172,78;3.485,86;;3.965,23
9;4.559,54;;;4.775,00;4.993,14;4.958,91;;;4.094,88;3.365,13;;3.905,67
10;4.679,20;;4.533,42;4.784,20;;4.901,88;4.546,54;;4.130,41;3.241,55;3.654,82;3.872,32
11;4.584,87;4.460,34;4.659,42;4.714,40;;4.890,57;4.537,04;4.462,20;4.176,36;;3.727,02;3.788,58
12;;4.535,07;4.616,64;;5.059,80;4.886,03;;4.442,29;4.174,65;;3.585,30;3.907,35
13;;4.578,27;4.614,66;;5.039,25;4.849,70;;4.421,05;;3.666,03;3.774,94;
14;4.571,00;4.557,79;4.590,92;4.656,77;5.022,20;;4.571,02;4.514,28;;3.792,75;3.735,58;
15;4.444,24;4.522,37;;4.642,04;5.076,03;;4.630,09;4.495,08;4.021,40;3.548,94;;3.778,77
16;4.424,45;;;4.736,15;5.083,33;4.839,48;4.789,69;;4.024,74;3.591,19;;3.892,51
17;4.320,15;;4.481,62;4.743,32;;4.867,65;4.726,45;;3.780,38;3.554,51;3.775,37;3.824,25
18;4.325,82;4.571,18;4.616,62;4.818,76;;4.757,82;4.690,59;4.449,99;3.914,87;;3.707,32;3.874,44
19;;4.505,72;4.472,57;;5.057,08;4.783,22;;4.448,17;4.221,47;;3.722,57;3.824,65
20;;4.615,71;4.541,48;;5.029,72;4.692,89;;4.491,70;;3.698,96;;
21;4.143,57;4.605,93;;;4.960,64;;4.748,25;4.449,84;;3.658,08;3.631,92;
22;4.265,12;4.657,08;;4.829,85;;;4.715,41;4.459,47;4.170,80;3.376,34;;3.734,74
23;4.174,13;;;4.801,93;4.923,92;4.663,94;4.739,83;;4.134,81;3.311,77;;3.662,59
24;4.344,65;;4.592,63;4.855,64;;4.619,63;4.633,73;;4.124,98;3.182,53;3.739,85;
25;;4.723,86;4.651,18;4.878,06;;4.692,01;4.580,44;4.397,47;4.277,09;;3.711,18;
26;;4.777,34;4.611,79;;4.909,03;4.615,59;;4.398,41;4.197,27;;3.782,97;3.641,35
27;;4.802,48;4.576,85;;4.908,22;4.642,89;;4.385,22;;3.064,98;3.771,88;
28;4.440,78;4.785,54;4.574,87;4.851,08;5.025,11;;4.542,53;4.470,68;;3.373,51;3.778,36;
29;4.457,42;4.688,69;;4.738,96;4.994,08;;4.604,94;4.400,36;3.947,60;3.455,57;;3.629,16
30;4.480,33;;;4.982,89;5.065,03;4.668,08;4.623,93;;4.184,70;3.583,82;;3.639,88
31;4.429,35;;4.621,56;;;;4.638,98;;;3.594,86;;
MÍNIMO;4.143,57;4.350,61;4.472,57;4.642,04;4.908,22;4.615,59;4.383,81;4.385,22;3.780,38;3.064,98;3.585,30;3.629,16
MÍNIMO;4.679,20;4.802,48;4.797,33;4.982,89;5.110,19;5.053,17;4.789,69;4.684,27;4.379,82;4.263,49;3.782,97;3.965,23
