IBSD - 2020
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;793,70;;917,22;985,95;;1.029,27;963,64;;1.141,67
2;1.322,25;;1.171,77;798,26;;944,45;986,57;;1.027,90;954,25;;1.148,50
3;1.319,14;1.261,17;1.158,45;770,28;;980,15;997,03;1.030,17;1.032,86;;965,85;1.159,68
4;;1.267,01;1.181,04;;847,45;982,17;;1.009,56;1.036,85;;989,13;1.158,31
5;;1.278,89;1.126,21;;848,97;989,87;;1.014,30;;962,94;1.018,90;
6;1.306,54;1.263,86;1.103,52;816,44;836,11;;1.020,12;1.033,29;;962,60;1.025,43;
7;1.303,47;1.242,65;;837,88;801,34;;1.002,27;1.024,76;;958,68;;1.164,95
8;1.294,47;;;857,01;818,15;1.022,97;1.023,51;;1.032,52;984,57;;1.163,21
9;1.287,47;;1.001,47;855,98;;1.007,93;1.016,60;;1.044,32;990,16;1.061,73;1.158,30
10;1.288,87;1.233,57;1.059,68;;;981,51;1.026,00;1.027,77;1.019,74;;1.084,40;1.179,62
11;;1.263,21;997,92;;804,17;;;1.017,74;1.003,53;;1.072,40;1.194,02
12;;1.274,43;873,86;;788,09;961,62;;1.004,20;;;1.048,07;
13;1.311,59;1.263,71;966,51;865,79;778,60;;1.013,05;988,27;;993,94;1.074,35;
14;1.321,43;1.246,51;;880,06;805,05;;1.018,63;1.002,09;1.021,95;1.000,46;;1.189,71
15;1.303,41;;;871,64;788,86;954,78;1.023,18;;1.015,61;1.003,22;;1.201,03
16;1.304,98;;850,06;857,14;;964,09;1.016,20;;1.008,76;993,28;1.102,91;1.211,94
17;1.318,05;1.251,62;892,91;860,63;;991,82;1.036,48;976,46;1.006,42;;1.115,05;1.208,50
18;;1.251,51;811,11;;835,11;996,90;;1.001,03;983,09;;1.100,05;1.199,57
19;;1.261,26;795,72;;822,43;1.007,19;;993,44;;996,43;1.100,74;
20;1.324,17;1.238,82;779,94;864,20;833,65;;1.051,78;997,29;;1.018,68;1.088,51;
21;1.298,19;1.234,90;;;872,52;;1.045,58;1.010,58;973,97;1.024,18;;1.178,96
22;1.309,42;;;881,71;856,41;996,32;1.041,70;;980,10;1.034,43;;1.184,45
23;1.323,01;;728,11;866,75;;993,29;1.022,09;;962,31;1.029,16;1.096,53;1.196,21
24;1.311,21;;778,22;812,20;;970,30;1.020,78;1.014,50;978,86;;1.121,08;
25;;;831,97;;906,63;989,50;;1.017,84;974,87;;1.122,28;
26;;1.157,41;877,47;;897,70;957,87;;1.000,12;;1.028,57;1.118,74;
27;1.276,21;1.132,42;830,15;837,23;913,92;;1.043,57;998,97;;1.013,72;1.129,74;
28;1.286,22;1.151,67;;874,66;903,91;;1.037,62;1.022,78;953,71;972,63;;1.208,35
29;1.274,13;;;894,16;902,66;977,81;1.055,74;;944,01;977,16;;1.211,22
30;1.268,86;;838,55;869,00;;965,25;1.051,39;;951,58;953,79;1.107,80;1.197,68
31;1.248,24;;822,72;;;;1.038,06;1.000,71;;;;
MÍNIMO;1.248,24;1.132,42;728,11;770,28;778,60;917,22;985,95;976,46;944,01;953,79;965,85;1.141,67
MÍNIMO;1.324,17;1.278,89;1.181,04;894,16;913,92;1.022,97;1.055,74;1.033,29;1.044,32;1.034,43;1.129,74;1.211,94
