IDIV - 2006
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;1.122,09;1.203,87;;;1.190,27;;1.168,39;1.188,79;;1.243,72;1.272,77
2;992,55;1.087,37;1.205,96;;1.290,14;1.198,78;;1.184,03;;1.176,07;;
3;1.014,75;1.097,47;1.210,74;1.240,79;1.283,43;;1.194,93;1.187,97;;1.165,42;1.268,32;
4;1.020,34;;;1.243,75;1.290,35;;1.198,69;1.201,03;1.207,33;1.202,46;;1.307,53
5;1.007,90;;;1.246,00;1.313,19;1.161,38;1.167,33;;1.194,04;1.213,24;;1.318,56
6;1.019,12;1.094,03;1.184,26;1.256,61;;1.170,52;1.177,62;;1.178,13;1.211,52;1.286,15;1.319,37
7;;1.079,01;1.157,12;1.244,28;;1.140,33;1.160,15;1.201,09;;;1.282,79;1.321,99
8;;1.082,89;1.161,25;;1.308,20;1.148,14;;1.203,91;1.168,61;;1.287,81;1.324,99
9;1.017,65;1.099,77;1.136,30;;1.307,08;1.137,06;;1.187,75;;1.224,32;1.261,30;
10;1.012,56;1.123,35;1.151,53;1.226,47;1.302,41;;1.166,74;1.190,95;;1.236,65;1.257,00;
11;1.045,09;;;1.208,65;1.271,48;;1.174,53;1.173,42;1.147,31;1.224,12;;1.323,81
12;1.035,20;;;1.238,75;1.246,91;1.083,98;1.158,52;;1.155,73;;;1.316,69
13;1.041,98;1.097,22;1.142,59;1.218,60;;1.064,34;1.125,09;;1.160,44;1.235,15;1.266,66;1.334,02
14;;1.114,45;1.159,09;;;1.051,54;1.125,22;1.165,00;1.148,53;;1.288,79;1.347,36
15;;1.135,69;1.185,71;;1.224,03;;;1.186,93;1.148,36;;;1.334,99
16;1.067,66;1.165,72;1.182,17;;1.234,07;1.100,73;;1.200,34;;1.246,29;1.278,75;
17;1.053,84;1.180,08;1.181,61;1.223,71;1.197,77;;1.114,16;1.199,47;;1.243,83;1.270,25;
18;1.040,44;;;1.259,85;1.186,02;;1.133,21;1.204,40;1.156,84;1.228,90;;1.351,84
19;1.066,11;;;1.273,26;1.188,40;1.083,09;1.180,18;;1.140,34;1.225,14;;1.359,35
20;1.059,73;1.194,92;1.186,76;1.254,27;;1.068,82;1.154,24;;1.117,54;1.219,09;;1.356,93
21;;1.177,16;1.165,31;;;1.089,91;1.139,33;1.200,60;1.103,49;;1.285,33;1.349,65
22;;1.184,05;1.184,90;;1.136,12;1.080,77;;1.178,15;1.102,94;;1.299,10;1.350,74
23;1.057,37;1.185,68;1.167,58;;1.132,87;1.092,78;;1.136,67;;1.236,86;1.305,82;
24;1.077,91;1.179,47;1.168,42;1.243,81;1.113,47;;1.155,19;1.144,97;;1.240,38;1.298,80;
25;;;;1.248,47;1.180,26;;1.165,51;1.151,53;1.108,14;1.231,53;;
26;1.096,18;;;1.269,35;1.214,10;1.091,90;1.163,78;;1.140,11;1.235,57;;1.358,59
27;1.099,35;;1.190,91;1.244,16;;1.096,58;1.174,06;;1.143,87;1.220,49;1.269,91;1.376,10
28;;;1.163,05;1.269,00;;1.113,99;1.184,95;1.161,65;1.157,17;;1.277,38;1.372,59
29;;;1.190,77;;1.200,33;1.170,04;;1.158,58;1.155,86;;1.293,95;
30;1.120,24;;1.202,46;;1.144,78;1.170,63;;1.153,61;;1.212,10;1.288,48;
31;1.121,72;;1.212,87;;1.147,16;;1.174,35;1.150,22;;1.222,58;;
MÍNIMO;992,55;1.079,01;1.136,30;1.208,65;1.113,47;1.051,54;1.114,16;1.136,67;1.102,94;1.165,42;1.243,72;1.272,77
MÍNIMO;1.121,72;1.194,92;1.212,87;1.273,26;1.313,19;1.198,78;1.198,69;1.204,40;1.207,33;1.246,29;1.305,82;1.376,10
