IFIX - 2013
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;1.619,38;1.598,87;1.576,28;;;1.437,04;1.424,68;;1.402,08;1.426,54;
2;1.580,50;;;1.571,77;1.540,78;;1.428,68;1.418,52;1.384,78;1.407,31;;1.407,18
3;1.579,74;;;1.575,06;1.541,79;1.545,45;1.432,78;;1.386,97;1.406,08;;1.403,88
4;1.582,08;1.620,81;1.600,05;1.574,15;;1.538,29;1.421,15;;1.386,83;1.412,63;1.425,13;1.399,89
5;;1.610,48;1.603,76;1.570,41;;1.524,92;1.423,97;1.421,89;1.385,22;;1.421,30;1.388,53
6;;1.611,10;1.605,12;;1.540,13;1.512,61;;1.411,92;1.386,42;;1.424,16;1.386,40
7;1.583,05;1.612,62;1.602,02;;1.539,75;1.513,41;;1.409,43;;1.406,75;1.422,88;
8;1.587,93;1.612,47;1.604,22;1.568,28;1.539,67;;1.425,02;1.406,49;;1.406,74;1.420,76;
9;1.587,96;;;1.567,67;1.536,87;;;1.414,83;1.384,83;1.407,53;;1.378,07
10;1.589,87;;;1.573,87;1.541,05;1.499,83;1.419,15;;1.384,04;1.403,38;;1.380,54
11;1.587,21;;1.600,17;1.574,92;;1.460,47;1.416,12;;1.381,96;1.405,86;1.412,62;1.373,73
12;;;1.599,08;1.571,20;;1.466,67;1.412,05;1.410,10;1.377,55;;1.412,75;1.370,13
13;;1.613,15;1.593,18;;1.542,91;1.482,79;;1.405,68;1.375,76;;1.408,52;1.364,76
14;1.584,45;1.607,69;1.591,37;;1.548,20;1.472,98;;1.403,65;;1.410,94;1.414,38;
15;1.583,76;1.603,71;1.587,24;1.567,35;1.547,21;;1.407,48;1.403,92;;1.409,90;;
16;1.583,12;;;1.570,00;1.552,87;;1.410,47;1.402,45;1.374,02;1.409,57;;1.363,48
17;1.589,45;;;1.564,01;1.552,92;1.474,89;1.406,12;;1.372,65;1.406,48;;1.364,54
18;1.588,06;1.607,81;1.585,13;1.566,13;;1.460,91;1.410,30;;1.376,29;1.407,95;1.413,85;1.359,07
19;;1.606,86;1.575,21;1.565,95;;1.450,36;1.415,39;1.389,62;1.378,50;;1.411,81;1.363,19
20;;1.605,38;1.570,52;;1.552,45;1.425,67;;1.390,45;1.380,95;;;1.372,09
21;1.589,23;1.600,08;1.572,77;;1.553,68;1.419,01;;1.381,56;;1.410,10;1.413,53;
22;1.588,57;1.602,11;1.570,06;1.555,10;1.552,59;;1.419,81;1.379,16;;1.417,19;1.413,05;
23;1.591,93;;;1.556,97;1.554,21;;1.430,93;1.374,86;1.379,49;1.420,51;;1.360,33
24;1.594,01;;;1.551,69;1.551,31;1.399,88;1.428,35;;1.379,76;1.421,04;;
25;;1.599,74;1.562,35;1.550,80;;1.422,50;1.425,77;;1.388,39;1.423,10;1.408,52;
26;;1.599,58;1.570,41;1.550,41;;1.432,00;1.429,62;1.375,92;1.389,84;;1.406,59;1.363,00
27;;1.595,78;1.571,44;;1.548,05;1.432,98;;1.370,42;1.392,47;;1.405,05;1.372,56
28;1.596,22;1.597,88;1.579,32;;1.550,11;1.437,76;;1.362,63;;1.420,05;1.406,25;
29;1.596,81;;;1.547,52;1.551,27;;1.427,97;1.366,59;;1.418,21;1.411,67;
30;1.603,26;;;1.549,00;;;1.429,65;1.375,07;1.400,93;1.419,48;;1.374,70
31;1.613,76;;;;1.549,36;;1.427,11;;;1.423,10;;
MÍNIMO;1.579,74;1.595,78;1.562,35;1.547,52;1.536,87;1.399,88;1.406,12;1.362,63;1.372,65;1.402,08;1.405,05;1.359,07
MÍNIMO;1.613,76;1.620,81;1.605,12;1.576,28;1.554,21;1.545,45;1.437,04;1.424,68;1.400,93;1.423,10;1.426,54;1.407,18
