SMLL - 2014
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;1.232,76;;;1.262,29;1.228,82;1.330,70;1.167,47;;1.134,94
2;1.281,58;;;1.253,82;1.246,18;1.234,42;1.248,89;;1.337,42;1.166,19;;1.127,96
3;1.297,60;1.171,04;;1.246,46;;1.247,09;1.248,97;;1.343,16;1.183,50;1.166,34;1.134,44
4;;1.178,20;;1.243,73;;1.250,29;1.256,71;1.241,58;1.332,84;;1.166,97;1.120,99
5;;1.170,27;1.182,20;;1.248,46;1.252,36;;1.233,29;1.330,80;;1.160,85;1.122,16
6;1.287,92;1.183,34;1.189,81;;1.245,96;1.269,63;;1.225,31;;1.213,63;1.138,88;
7;1.276,48;1.188,44;1.170,88;1.240,32;1.254,93;;1.251,24;1.221,39;;1.222,58;1.138,84;
8;1.276,24;;;1.239,55;1.256,20;;1.242,59;1.222,89;1.301,01;1.218,84;;1.100,65
9;1.252,59;;;1.231,52;1.249,09;1.292,38;;;1.281,94;1.217,21;;1.089,58
10;1.257,05;1.179,44;1.151,85;1.232,11;;1.304,37;1.233,48;;1.268,42;1.192,18;1.131,77;1.082,82
11;;1.192,20;1.158,06;1.234,33;;1.307,62;1.247,93;1.231,11;1.278,35;;1.129,64;1.080,01
12;;1.185,97;1.157,91;;1.256,83;;;1.229,23;1.253,81;;1.137,34;1.057,00
13;1.258,08;1.177,97;1.158,59;;1.257,20;1.297,73;;1.232,39;;1.217,51;1.124,38;
14;1.263,69;1.184,35;1.142,61;1.233,40;1.256,85;;1.249,13;1.226,69;;1.213,32;1.119,28;
15;1.272,05;;;1.214,51;1.241,03;;1.245,65;1.242,37;1.259,19;1.187,21;;1.039,55
16;1.264,11;;;1.232,17;1.240,16;1.291,52;1.243,19;;1.262,27;1.167,45;;1.020,65
17;1.258,65;1.171,20;1.138,60;1.239,51;;1.295,10;1.236,81;;1.262,20;1.178,65;1.105,39;1.045,46
18;;1.142,92;1.161,32;;;1.306,55;1.246,46;1.241,54;1.253,69;;1.115,15;1.046,25
19;;1.152,43;1.170,32;;1.237,51;;;1.252,30;1.252,39;;1.131,52;1.059,25
20;1.253,49;1.156,84;1.181,46;;1.226,95;1.296,54;;1.258,51;;1.158,54;;
21;1.249,73;1.168,04;1.189,98;;1.227,20;;1.254,82;1.264,77;;1.127,54;1.169,41;
22;1.260,90;;;1.241,85;1.237,04;;1.270,23;1.259,65;1.224,22;1.116,82;;1.068,14
23;1.245,48;;;1.226,86;1.238,26;1.286,94;1.269,22;;1.222,67;1.090,85;;1.074,63
24;1.225,53;1.180,82;1.195,41;1.226,58;;1.288,52;1.272,17;;1.225,36;1.115,27;1.169,32;
25;;1.169,04;1.195,67;1.211,98;;1.279,24;1.268,42;1.272,14;1.213,42;;1.161,84;
26;;1.171,64;1.188,91;;1.241,41;1.283,69;;1.284,27;1.227,29;;1.158,63;1.075,22
27;1.221,32;1.191,22;1.212,23;;1.230,60;1.273,13;;1.308,06;;1.099,99;1.165,93;
28;1.226,68;1.186,19;1.222,56;1.210,35;1.242,37;;1.262,01;1.310,04;;1.139,22;1.173,26;
29;1.212,36;;;1.220,83;1.249,80;;1.248,44;1.322,53;1.193,77;1.130,76;;1.088,42
30;1.199,56;;;1.225,27;1.238,38;1.272,54;1.242,15;;1.198,51;1.145,52;;1.087,35
31;1.198,11;;1.237,85;;;;1.229,85;;;1.179,45;;
MÍNIMO;1.198,11;1.142,92;1.138,60;1.210,35;1.226,95;1.234,42;1.229,85;1.221,39;1.193,77;1.090,85;1.105,39;1.020,65
MÍNIMO;1.297,60;1.192,20;1.237,85;1.253,82;1.257,20;1.307,62;1.272,17;1.322,53;1.343,16;1.222,58;1.173,26;1.134,94
