UTIL - 2007
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;1.359,94;1.347,31;;;1.645,64;;1.646,66;;1.720,13;1.682,70;
2;1.386,01;1.355,72;1.313,64;1.342,00;1.468,11;;1.770,08;1.655,99;;1.719,97;;
3;1.375,62;;;1.361,09;1.494,62;;1.754,52;1.616,22;1.658,68;1.705,23;;1.651,95
4;1.367,55;;;1.362,74;1.512,29;1.649,17;1.755,48;;1.652,95;1.709,77;;1.664,42
5;1.316,81;1.365,49;1.273,84;1.364,75;;1.630,52;1.758,27;;1.626,57;1.727,75;1.702,54;1.690,45
6;;1.349,82;1.320,92;;;1.608,29;1.771,07;1.636,21;1.638,12;;1.722,89;1.698,64
7;;1.336,83;1.320,83;;1.516,16;;;1.649,13;;;1.706,56;1.682,88
8;1.318,96;1.338,72;1.338,49;;1.516,22;1.636,99;;1.695,90;;1.745,87;1.664,53;
9;1.303,10;1.326,65;1.355,08;1.370,21;1.533,61;;;1.634,50;;1.756,73;1.661,46;
10;1.314,03;;;1.376,56;1.522,06;;1.750,64;1.614,21;1.586,96;1.732,34;;1.658,64
11;1.323,60;;;1.369,17;1.538,39;1.664,54;1.767,72;;1.608,14;1.705,16;;1.618,02
12;1.320,84;1.322,19;1.340,13;1.373,00;;1.640,45;1.797,01;;1.597,96;;1.621,63;1.608,16
13;;1.343,32;1.303,28;1.386,04;;1.665,81;1.784,81;1.610,62;1.609,53;;1.647,77;1.590,92
14;;1.365,28;1.313,28;;1.532,09;1.680,48;;1.542,27;1.601,90;;1.673,22;1.584,67
15;1.319,46;1.362,61;1.310,28;;1.527,20;1.710,43;;1.497,51;;1.683,41;;
16;1.302,42;1.364,19;1.296,19;1.401,00;1.560,98;;1.768,20;1.449,51;;1.656,96;1.680,84;
17;1.308,13;;;1.400,76;1.555,73;;1.774,27;1.493,02;1.573,92;1.694,38;;1.530,30
18;1.301,52;;;1.413,95;1.563,24;1.721,12;1.768,89;;1.621,43;1.692,82;;1.549,41
19;1.325,39;;1.314,93;1.424,16;;1.725,89;1.776,41;;1.634,99;1.645,07;1.633,67;1.554,21
20;;;1.330,53;1.437,53;;1.729,96;1.759,01;1.551,39;1.619,92;;;1.539,21
21;;1.367,84;1.355,35;;1.566,65;1.753,00;;1.578,56;1.643,49;;1.595,75;1.572,94
22;1.337,39;1.381,47;1.346,66;;1.570,88;1.732,95;;1.613,62;;1.662,80;1.599,81;
23;1.348,98;1.380,35;1.352,61;1.431,52;1.577,83;;1.756,45;1.598,26;;1.695,52;1.601,73;
24;1.356,96;;;1.431,49;1.577,82;;1.686,47;1.634,72;1.664,23;1.682,27;;
25;;;;1.455,31;1.585,78;1.718,14;1.709,15;;1.677,49;1.669,86;;
26;1.356,44;1.386,42;1.358,67;1.450,40;;1.716,87;1.640,25;;1.698,93;1.691,40;1.535,39;1.632,83
27;;1.316,78;1.349,30;1.456,68;;1.708,66;1.627,45;1.634,09;1.701,75;;1.540,16;1.643,26
28;;1.328,40;1.335,76;;1.610,78;1.718,41;;1.587,24;1.685,03;;1.597,22;1.616,45
29;1.335,65;;1.353,78;;1.602,08;1.734,30;;1.632,92;;1.689,56;1.588,89;
30;1.342,27;;1.350,09;1.456,94;1.617,92;;1.661,45;1.601,91;;1.693,66;1.637,43;
31;1.352,62;;;;1.610,40;;1.650,84;1.662,00;;1.702,76;;
MÍNIMO;1.301,52;1.316,78;1.273,84;1.342,00;1.468,11;1.608,29;1.627,45;1.449,51;1.573,92;1.645,07;1.535,39;1.530,30
MÍNIMO;1.386,01;1.386,42;1.358,67;1.456,94;1.617,92;1.753,00;1.797,01;1.695,90;1.701,75;1.756,73;1.722,89;1.698,64
