Date,Close
2020-01-06,1000.0
2020-01-07,1000.44
2020-01-08,998.93
2020-01-09,998.54
2020-01-10,995.36
2020-01-13,1011.31
2020-01-14,1014.68
2020-01-15,1004.63
2020-01-16,1007.02
2020-01-17,1021.19
2020-01-20,1026.35
2020-01-21,1012.08
2020-01-22,1025.55
2020-01-23,1035.7
2020-01-24,1026.13
2020-01-27,993.39
2020-01-28,1011.21
2020-01-29,1001.4
2020-01-30,1000.27
2020-01-31,986.11
2020-02-03,994.69
2020-02-04,1001.47
2020-02-05,1005.32
2020-02-06,994.12
2020-02-07,979.72
2020-02-10,967.2
2020-02-11,992.79
2020-02-12,1004.43
2020-02-13,997.44
2020-02-14,987.3
2020-02-17,995.29
2020-02-18,991.81
2020-02-19,1003.24
2020-02-20,986.16
2020-02-21,980.89
2020-02-26,914.52
2020-02-27,890.27
2020-02-28,899.86
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-20,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-12,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-30,
2020-12-01,950.52
2020-12-02,955.95
2020-12-03,960.22
2020-12-04,969.19
2020-12-07,967.81
2020-12-08,971.19
2020-12-09,962.12
2020-12-10,977.07
2020-12-11,978.27
2020-12-14,975.58
2020-12-15,990.31
2020-12-16,1004.1
2020-12-17,1007.82
2020-12-18,1004.25
2020-12-21,986.7
2020-12-22,993.72
2020-12-23,1002.59
2020-12-28,1015.01
2020-12-29,1018.54
2020-12-30,1014.29
2021-01-04,1008.33
2021-01-05,1009.47
2021-01-06,1002.17
2021-01-07,1025.09
2021-01-08,1053.56
2021-01-11,1035.65
2021-01-12,1047.48
2021-01-13,1033.96
2021-01-14,1046.9
2021-01-15,1024.19
2021-01-18,1032.17
2021-01-19,1026.14
2021-01-20,1019.87
2021-01-21,1007.69
2021-01-22,999.76
2021-01-26,992.36
2021-01-27,988.03
2021-01-28,1013.76
2021-01-29,982.3
2021-02-01,1000.85
2021-02-02,1009.13
2021-02-03,1021.62
2021-02-04,1017.84
2021-02-05,1023.79
2021-02-08,1020.81
2021-02-09,1020.16
2021-02-10,1009.32
2021-02-11,1019.11
2021-02-12,1019.48
2021-02-17,1024.0
2021-02-18,1012.21
2021-02-19,1010.49
2021-02-22,971.13
2021-02-23,989.45
2021-02-24,992.61
2021-02-25,963.73
2021-02-26,944.69
2021-03-01,
2021-03-02,
2021-03-03,
2021-03-04,
2021-03-05,
2021-03-08,
2021-03-09,
2021-03-10,
2021-03-11,
2021-03-12,
2021-03-15,
2021-03-16,
2021-03-17,
2021-03-18,
2021-03-19,
2021-03-22,
2021-03-23,
2021-03-24,
2021-03-25,
2021-03-26,
2021-03-29,
2021-03-30,
2021-03-31,
2021-04-01,981.74
2021-04-05,997.45
2021-04-06,1000.07
2021-04-07,998.85
2021-04-08,1006.83
2021-04-09,1002.47
2021-04-12,1012.23
2021-04-13,1018.03
2021-04-14,1023.08
2021-04-15,1027.11
2021-04-16,1030.79
2021-04-19,1027.91
2021-04-20,1022.28
2021-04-22,1015.45
2021-04-23,1024.58
2021-04-26,1025.02
2021-04-27,1013.11
2021-04-28,1024.17
2021-04-29,1016.68
2021-04-30,1007.66
2021-05-03,1009.56
2021-05-04,996.29
2021-05-05,1010.63
2021-05-06,1010.62
2021-05-07,1029.46
2021-05-10,1026.69
2021-05-11,1032.88
2021-05-12,1005.83
2021-05-13,1014.82
2021-05-14,1025.19
2021-05-17,1033.13
2021-05-18,1033.88
2021-05-19,1032.44
2021-05-20,1035.28
2021-05-21,1035.33
2021-05-24,1048.04
2021-05-25,1042.05
2021-05-26,1048.32
2021-05-27,1052.3
2021-05-28,1060.05
2021-05-31,1063.43
2021-06-01,1082.44
2021-06-02,1090.26
2021-06-04,1096.16
2021-06-07,1103.18
2021-06-08,1093.46
2021-06-09,1092.55
2021-06-10,1095.32
2021-06-11,1088.0
2021-06-14,1096.6
2021-06-15,1096.18
2021-06-16,1089.37
2021-06-17,1081.97
2021-06-18,1083.71
2021-06-21,1089.26
2021-06-22,1083.39
2021-06-23,1078.4
2021-06-24,1088.5
2021-06-25,1067.35
2021-06-28,1071.11
2021-06-29,1068.15
2021-06-30,1061.72
2021-07-01,1054.48
2021-07-02,1071.38
2021-07-05,1066.82
2021-07-06,1051.42
2021-07-07,1069.66
2021-07-08,1054.93
2021-07-12,1073.85
2021-07-13,1078.71
2021-07-14,1081.3
2021-07-15,1073.6
2021-07-16,1062.38
2021-07-19,1050.81
2021-07-20,1060.7
2021-07-21,1064.91
2021-07-22,1067.47
2021-07-23,1058.31
2021-07-26,1064.25
2021-07-27,1052.26
2021-07-28,1064.14
2021-07-29,1060.74
2021-07-30,1030.43
2021-08-02,1038.6
2021-08-03,1044.76
2021-08-04,1030.7
2021-08-05,1025.93
2021-08-06,1037.26
2021-08-09,1040.13
2021-08-10,1031.67
2021-08-11,1029.48
2021-08-12,1015.89
2021-08-13,1022.15
2021-08-16,1003.68
2021-08-17,992.13
2021-08-18,983.92
2021-08-19,995.57
2021-08-20,1004.53
2021-08-23,999.08
2021-08-24,1020.81
2021-08-25,1027.15
2021-08-26,1008.33
2021-08-27,1023.56
2021-08-30,1015.79
2021-08-31,1009.6
2021-09-01,1016.05
2021-09-02,991.59
2021-09-03,994.86
2021-09-06,1005.02
2021-09-08,968.1
2021-09-09,988.03
2021-09-10,977.13
2021-09-13,996.27
2021-09-14,995.37
2021-09-15,986.62
2021-09-16,978.69
2021-09-17,960.95
2021-09-20,940.59
2021-09-21,951.32
2021-09-22,967.03
2021-09-23,982.6
2021-09-24,977.03
2021-09-27,978.09
2021-09-28,948.29
2021-09-29,955.5
2021-09-30,953.88
2021-10-01,
2021-10-04,
2021-10-05,
2021-10-06,
2021-10-07,
2021-10-08,
2021-10-11,
