Date,Close
2020-01-06,1000.0
2020-01-07,998.15
2020-01-08,994.59
2020-01-09,992.03
2020-01-10,988.24
2020-01-13,1003.82
2020-01-14,1006.44
2020-01-15,996.01
2020-01-16,998.49
2020-01-17,1013.67
2020-01-20,1016.95
2020-01-21,1001.24
2020-01-22,1012.91
2020-01-23,1022.63
2020-01-24,1012.78
2020-01-27,979.46
2020-01-28,996.55
2020-01-29,987.19
2020-01-30,988.43
2020-01-31,973.3
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-20,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-27,
2020-04-28,
2020-04-29,
2020-04-30,
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-12,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,
2020-06-26,
2020-06-29,
2020-06-30,
2020-07-01,
2020-07-02,
2020-07-03,
2020-07-06,
2020-07-07,
2020-07-08,
2020-07-09,
2020-07-10,
2020-07-13,
2020-07-14,
2020-07-15,
2020-07-16,
2020-07-17,
2020-07-20,
2020-07-21,
2020-07-22,
2020-07-23,
2020-07-24,
2020-07-27,
2020-07-28,
2020-07-29,
2020-07-30,
2020-07-31,
2020-08-03,
2020-08-04,
2020-08-05,
2020-08-06,
2020-08-07,
2020-08-10,
2020-08-11,
2020-08-12,
2020-08-13,
2020-08-14,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,
2020-08-24,
2020-08-25,
2020-08-26,
2020-08-27,
2020-08-28,
2020-08-31,
2020-09-01,
2020-09-02,
2020-09-03,
2020-09-04,
2020-09-08,
2020-09-09,
2020-09-10,
2020-09-11,
2020-09-14,
2020-09-15,
2020-09-16,
2020-09-17,
2020-09-18,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-26,
2020-11-27,
2020-11-30,
2020-12-01,954.7
2020-12-02,958.88
2020-12-03,962.45
2020-12-04,975.36
2020-12-07,974.06
2020-12-08,975.61
2020-12-09,968.63
2020-12-10,987.11
2020-12-11,986.76
2020-12-14,982.47
2020-12-15,995.81
2020-12-16,1010.56
2020-12-17,1015.23
2020-12-18,1012.17
2020-12-21,993.18
2020-12-22,1000.05
2020-12-23,1010.23
2020-12-28,1021.41
2020-12-29,1023.79
2020-12-30,1020.22
2021-01-04,1021.34
2021-01-05,1026.66
2021-01-06,1026.11
2021-01-07,1056.92
2021-01-08,1078.39
2021-01-11,1063.49
2021-01-12,1067.88
2021-01-13,1049.03
2021-01-14,1062.65
2021-01-15,1034.53
2021-01-18,1042.2
2021-01-19,1037.24
2021-01-20,1028.1
2021-01-21,1017.93
2021-01-22,1009.97
2021-01-26,1001.55
2021-01-27,995.41
2021-01-28,1020.96
2021-01-29,987.93
2021-02-01,1009.71
2021-02-02,1013.55
2021-02-03,1027.21
2021-02-04,1022.78
2021-02-05,1032.74
2021-02-08,1028.91
2021-02-09,1027.12
2021-02-10,1019.1
2021-02-11,1025.19
2021-02-12,1026.81
2021-02-17,1036.15
2021-02-18,1027.4
2021-02-19,1020.9
2021-02-22,971.62
2021-02-23,993.89
2021-02-24,998.13
2021-02-25,968.87
2021-02-26,949.95
2021-03-01,950.72
2021-03-02,962.11
2021-03-03,958.35
2021-03-04,969.96
2021-03-05,993.52
2021-03-08,956.0
2021-03-09,961.34
2021-03-10,972.38
2021-03-11,991.73
2021-03-12,983.67
2021-03-15,989.13
2021-03-16,982.23
2021-03-17,1003.68
2021-03-18,988.54
2021-03-19,999.23
2021-03-22,988.24
2021-03-23,972.82
2021-03-24,964.46
2021-03-25,977.58
2021-03-26,987.8
2021-03-29,994.47
2021-03-30,1005.67
2021-03-31,1004.49
2021-04-01,992.78
2021-04-05,1014.58
2021-04-06,1013.63
2021-04-07,1016.12
2021-04-08,1021.53
2021-04-09,1015.47
2021-04-12,1025.02
2021-04-13,1029.23
2021-04-14,1039.37
2021-04-15,1043.26
2021-04-16,1046.79
2021-04-19,1045.06
2021-04-20,1036.83
2021-04-22,1031.37
2021-04-23,1041.79
2021-04-26,1042.78
2021-04-27,1033.8
2021-04-28,1048.55
2021-04-29,1040.42
2021-04-30,1029.15
2021-05-03,1030.41
2021-05-04,1019.5
2021-05-05,1034.0
2021-05-06,1038.48
2021-05-07,1056.34
2021-05-10,1054.33
2021-05-11,1065.0
2021-05-12,1036.2
2021-05-13,1042.84
2021-05-14,1051.9
2021-05-17,1062.31
2021-05-18,1063.9
2021-05-19,1059.74
2021-05-20,1060.36
2021-05-21,1058.65
2021-05-24,1070.27
2021-05-25,1060.57
2021-05-26,1070.79
2021-05-27,1074.53
2021-05-28,1084.48
2021-05-31,1091.35
2021-06-01,1106.8
2021-06-02,1118.53
2021-06-04,1122.3
2021-06-07,1126.85
2021-06-08,1117.83
2021-06-09,1120.15
2021-06-10,1121.49
2021-06-11,1117.91
2021-06-14,1123.93
2021-06-15,1121.25
2021-06-16,1112.8
2021-06-17,1102.16
2021-06-18,1107.04
2021-06-21,1114.18
2021-06-22,1110.9
2021-06-23,1109.06
2021-06-24,1118.05
2021-06-25,1100.56
2021-06-28,1100.8
2021-06-29,1101.16
2021-06-30,1097.43
2021-07-01,1087.69
2021-07-02,1104.97
2021-07-05,1099.4
2021-07-06,1084.68
2021-07-07,1100.6
2021-07-08,1086.27
2021-07-12,1104.15
2021-07-13,1109.51
2021-07-14,1110.53
2021-07-15,1103.01
2021-07-16,1089.7
2021-07-19,1077.53
2021-07-20,1087.68
2021-07-21,1093.8
2021-07-22,1095.99
2021-07-23,1087.2
2021-07-26,1096.3
2021-07-27,1083.09
2021-07-28,1098.74
2021-07-29,1093.58
2021-07-30,1058.14
2021-08-02,1064.55
2021-08-03,1075.21
2021-08-04,1060.59
2021-08-05,1057.37
2021-08-06,1068.16
2021-08-09,1069.55
2021-08-10,1063.74
2021-08-11,1062.22
2021-08-12,1051.04
2021-08-13,1055.42
2021-08-16,1039.15
2021-08-17,1027.48
2021-08-18,1015.95
2021-08-19,1016.94
2021-08-20,1023.86
2021-08-23,1019.21
2021-08-24,1042.8
2021-08-25,1047.54
2021-08-26,1029.54
2021-08-27,1047.49
2021-08-30,1039.66
2021-08-31,1030.75
2021-09-01,1035.74
2021-09-02,1013.17
2021-09-03,1015.16
2021-09-06,1021.32
2021-09-08,984.35
2021-09-09,1000.86
2021-09-10,991.37
2021-09-13,1007.94
2021-09-14,1005.73
2021-09-15,993.79
2021-09-16,979.45
2021-09-17,960.79
2021-09-20,940.47
2021-09-21,950.98
2021-09-22,969.09
2021-09-23,983.66
2021-09-24,977.25
2021-09-27,979.93
2021-09-28,948.84
2021-09-29,956.62
2021-09-30,955.21
2021-10-01,
2021-10-04,
2021-10-05,
2021-10-06,
2021-10-07,
2021-10-08,
2021-10-11,
2021-10-13,
2021-10-14,
2021-10-15,
2021-10-18,
2021-10-19,
2021-10-20,
2021-10-21,
2021-10-22,
2021-10-25,
2021-10-26,
2021-10-27,
2021-10-28,
2021-10-29,
2021-11-01,
2021-11-03,
2021-11-04,
2021-11-05,
2021-11-08,
2021-11-09,
2021-11-10,
2021-11-11,
2021-11-12,
2021-11-16,
2021-11-17,
2021-11-18,
2021-11-19,
2021-11-22,
2021-11-23,
2021-11-24,
2021-11-25,
2021-11-26,
2021-11-29,
2021-11-30,
2021-12-01,
2021-12-02,
2021-12-03,
2021-12-06,
2021-12-07,
2021-12-08,
2021-12-09,
2021-12-10,
2021-12-13,
2021-12-14,
2021-12-15,
2021-12-16,
2021-12-17,
2021-12-20,
2021-12-21,
2021-12-22,
2021-12-23,
2021-12-27,
2021-12-28,
2021-12-29,
2021-12-30,
2022-01-03,
2022-01-04,
2022-01-05,
2022-01-06,
2022-01-07,
2022-01-10,
2022-01-11,
2022-01-12,
2022-01-13,
2022-01-14,
2022-01-17,
2022-01-18,
2022-01-19,
2022-01-20,
2022-01-21,
2022-01-24,
2022-01-25,
2022-01-26,
2022-01-27,
2022-01-28,
2022-01-31,
2022-02-01,
2022-02-02,
2022-02-03,
2022-02-04,
2022-02-07,
2022-02-08,
2022-02-09,
2022-02-10,
2022-02-11,
2022-02-14,
2022-02-15,
2022-02-16,
2022-02-17,
2022-02-18,
2022-02-21,
2022-02-22,
2022-02-23,
2022-02-24,
2022-02-25,
2022-03-02,968.9
2022-03-03,967.19
2022-03-04,961.22
2022-03-07,937.55
2022-03-08,933.7
2022-03-09,955.49
2022-03-10,954.33
2022-03-11,938.04
2022-03-14,920.88
2022-03-15,912.83
2022-03-16,932.28
2022-03-17,948.67
2022-03-18,970.48
2022-03-21,978.01
2022-03-22,987.0
2022-03-23,987.55
2022-03-24,1001.26
