Date,Close
2003-01-06,1000.0
2003-01-07,977.82
2003-01-08,979.4
2003-01-09,991.45
2003-01-10,993.06
2003-01-13,983.66
2003-01-14,985.42
2003-01-15,982.62
2003-01-16,985.7
2003-01-17,977.75
2003-01-20,978.56
2003-01-21,971.48
2003-01-22,963.53
2003-01-23,962.04
2003-01-24,941.54
2003-01-27,929.43
2003-01-28,927.22
2003-01-29,947.03
2003-01-30,941.59
2003-01-31,957.11
2003-02-03,
2003-02-04,
2003-02-05,
2003-02-06,
2003-02-07,
2003-02-10,
2003-02-11,
2003-02-12,
2003-02-13,
2003-02-14,
2003-02-17,
2003-02-18,
2003-02-19,
2003-02-20,
2003-02-21,
2003-02-24,
2003-02-25,
2003-02-26,
2003-02-27,
2003-02-28,
2003-03-05,
2003-03-06,
2003-03-07,
2003-03-10,
2003-03-11,
2003-03-12,
2003-03-13,
2003-03-14,
2003-03-17,
2003-03-18,
2003-03-19,
2003-03-20,
2003-03-21,
2003-03-24,
2003-03-25,
2003-03-26,
2003-03-27,
2003-03-28,
2003-03-31,
2003-04-01,985.8
2003-04-02,994.7
2003-04-03,1003.85
2003-04-04,1000.24
2003-04-07,996.07
2003-04-08,987.88
2003-04-09,997.27
2003-04-10,997.58
2003-04-11,997.91
2003-04-14,998.68
2003-04-15,1008.75
2003-04-16,1010.13
2003-04-17,1017.68
2003-04-22,1016.5
2003-04-23,1011.68
2003-04-24,999.5
2003-04-25,999.28
2003-04-28,1006.04
2003-04-29,1013.27
2003-04-30,1020.55
2003-05-02,1037.14
2003-05-05,1046.33
2003-05-06,1042.77
2003-05-07,1060.6
2003-05-08,1056.63
2003-05-09,1073.39
2003-05-12,1067.78
2003-05-13,1061.41
2003-05-14,1059.04
2003-05-15,1048.3
2003-05-16,1053.49
2003-05-19,1034.91
2003-05-20,1030.62
2003-05-21,1043.46
2003-05-22,1046.32
2003-05-23,1046.07
2003-05-26,1032.71
2003-05-27,1054.33
2003-05-28,1063.72
2003-05-29,1065.91
2003-05-30,1068.68
2003-06-02,1063.23
2003-06-03,1068.98
2003-06-04,1082.44
2003-06-05,1080.62
2003-06-06,1088.69
2003-06-09,1083.48
2003-06-10,1073.75
2003-06-11,1070.42
2003-06-12,1080.94
2003-06-13,1078.0
2003-06-16,1085.84
2003-06-17,1085.0
2003-06-18,1067.96
2003-06-20,1047.88
2003-06-23,1047.78
2003-06-24,1056.65
2003-06-25,1055.84
2003-06-26,1072.19
2003-06-27,1073.25
2003-06-30,1061.93
2003-07-01,1077.71
2003-07-02,1075.95
2003-07-03,1073.93
2003-07-04,1088.08
2003-07-07,1102.09
2003-07-08,1112.0
2003-07-10,1106.91
2003-07-11,1097.67
2003-07-14,1111.22
2003-07-15,1107.48
2003-07-16,1099.15
2003-07-17,1103.9
2003-07-18,1109.85
2003-07-21,1110.83
2003-07-22,1121.55
2003-07-23,1129.33
2003-07-24,1132.53
2003-07-25,1148.28
2003-07-28,1154.29
2003-07-29,1153.91
2003-07-30,1142.45
2003-07-31,1150.83
2003-08-01,1136.62
2003-08-04,1122.89
2003-08-05,1125.77
2003-08-06,1113.13
2003-08-07,1136.73
2003-08-08,1151.85
2003-08-11,1149.43
2003-08-12,1163.99
2003-08-13,1175.78
2003-08-14,1192.01
2003-08-15,1194.34
2003-08-18,1209.0
2003-08-19,1212.34
2003-08-20,1229.51
2003-08-21,1243.89
2003-08-22,1241.1
2003-08-25,1236.58
2003-08-26,1261.69
2003-08-27,1279.36
2003-08-28,1277.76
2003-08-29,1287.84
2003-09-01,1308.2
2003-09-02,1314.85
2003-09-03,1330.17
2003-09-04,1332.82
2003-09-05,1345.69
2003-09-08,1344.54
2003-09-09,1310.69
2003-09-10,1317.46
2003-09-11,1330.55
2003-09-12,1326.47
2003-09-15,1316.3
2003-09-16,1321.14
2003-09-17,1328.31
2003-09-18,1348.55
2003-09-19,1341.89
2003-09-22,1323.63
2003-09-23,1311.95
2003-09-24,1286.86
2003-09-25,1264.69
2003-09-26,1258.19
2003-09-29,1278.94
2003-09-30,1271.78
2003-10-01,1320.75
2003-10-02,1344.93
2003-10-03,1366.03
2003-10-06,1371.85
2003-10-07,1374.56
2003-10-08,1388.55
2003-10-09,1379.32
2003-10-10,1373.8
2003-10-13,1397.57
2003-10-14,1389.55
2003-10-15,1373.57
2003-10-16,1375.64
2003-10-17,1370.91
2003-10-20,1392.4
2003-10-21,1393.11
2003-10-22,1379.36
2003-10-23,1347.81
2003-10-24,1359.38
2003-10-27,1361.68
2003-10-28,1371.25
2003-10-29,1357.86
2003-10-30,1366.45
2003-10-31,1364.85
2003-11-03,1392.31
2003-11-04,1394.27
2003-11-05,1382.27
2003-11-06,1377.18
2003-11-07,1383.34
2003-11-10,1364.69
2003-11-11,1361.37
2003-11-12,1383.27
2003-11-13,1380.76
2003-11-14,1395.23
2003-11-17,1372.23
2003-11-18,1379.06
2003-11-19,1376.76
2003-11-20,1392.3
2003-11-21,1398.55
2003-11-24,1416.93
2003-11-25,1424.64
2003-11-26,1428.68
2003-11-27,1448.59
2003-11-28,1467.65
2003-12-01,1491.57
2003-12-02,1493.72
2003-12-03,1501.03
2003-12-04,1501.71
2003-12-05,1525.23
2003-12-08,1535.08
2003-12-09,1554.9
2003-12-10,1535.73
2003-12-11,1553.9
2003-12-12,1551.26
2003-12-15,1543.7
2003-12-16,1535.24
2003-12-17,1562.22
2003-12-18,1603.36
2003-12-19,1613.45
2003-12-22,1655.09
2003-12-23,1655.74
2003-12-26,1654.11
2003-12-29,1676.34
2003-12-30,1697.4
2004-01-02,1728.17
2004-01-05,1797.77
2004-01-06,1798.13
2004-01-07,1788.73
2004-01-08,1807.04
2004-01-09,1809.78
2004-01-12,1825.86
2004-01-13,1810.81
2004-01-14,1768.81
2004-01-15,1741.86
2004-01-16,1755.09
2004-01-19,1771.04
2004-01-20,1791.57
2004-01-21,1759.47
2004-01-22,1747.91
2004-01-23,1781.49
2004-01-26,1831.93
2004-01-27,1837.53
2004-01-28,1805.23
2004-01-29,1713.25
2004-01-30,1691.81
2004-02-02,1697.68
2004-02-03,1716.15
2004-02-04,1683.91
2004-02-05,1646.98
2004-02-06,1687.54
2004-02-09,1689.88
2004-02-10,1704.07
2004-02-11,1765.6
2004-02-12,1761.61
2004-02-13,1730.39
2004-02-16,1703.96
2004-02-17,1735.07
2004-02-18,1730.32
2004-02-19,1661.28
2004-02-20,1674.15
2004-02-25,1693.38
2004-02-26,1674.54
2004-02-27,1707.16
2004-03-01,1759.48
2004-03-02,1748.34
2004-03-03,1740.95
2004-03-04,1731.68
2004-03-05,1746.21
2004-03-08,1730.82
2004-03-09,1696.23
2004-03-10,1634.81
2004-03-11,1581.72
2004-03-12,1634.85
2004-03-15,1594.35
2004-03-16,1612.61
2004-03-17,1646.38
2004-03-18,1667.13
2004-03-19,1658.39
2004-03-22,1619.55
2004-03-23,1605.74
2004-03-24,1585.7
2004-03-25,1583.79
2004-03-26,1617.47
2004-03-29,1615.43
2004-03-30,1649.99
2004-03-31,1651.98
2004-04-01,1680.14
2004-04-02,1696.37
2004-04-05,1704.53
2004-04-06,1703.88
2004-04-07,1664.97
2004-04-08,1668.15
2004-04-12,1673.52
2004-04-13,1659.72
2004-04-14,1638.37
2004-04-15,1609.8
2004-04-16,1606.42
2004-04-19,1596.6
2004-04-20,1563.41
2004-04-22,1567.41
2004-04-23,1579.66
2004-04-26,1556.3
2004-04-27,1558.26
2004-04-28,1507.56
2004-04-29,1469.4
2004-04-30,1446.27
2004-05-03,1457.56
2004-05-04,1475.94
2004-05-05,1470.25
2004-05-06,1423.91
2004-05-07,1410.44
2004-05-10,1362.5
2004-05-11,1418.68
2004-05-12,1411.9
2004-05-13,1431.77
2004-05-14,1438.04
2004-05-17,1401.65
2004-05-18,1429.62
2004-05-19,1444.89
2004-05-20,1427.3
2004-05-21,1439.38
2004-05-24,1453.04
2004-05-25,1472.6
2004-05-26,1495.25
2004-05-27,1526.2
2004-05-28,1528.38
2004-05-31,1519.34
2004-06-01,1527.63
2004-06-02,1538.57
2004-06-03,1520.03
2004-06-04,1541.43
2004-06-07,1587.71
2004-06-08,1577.57
2004-06-09,1540.51
2004-06-11,1545.94
2004-06-14,1518.63
2004-06-15,1550.38
2004-06-16,1562.16
2004-06-17,1554.13
2004-06-18,1558.81
2004-06-21,1552.83
2004-06-22,1538.33
2004-06-23,1564.85
2004-06-24,1556.18
2004-06-25,1565.26
2004-06-28,1552.19
2004-06-29,1579.07
2004-06-30,1605.55
2004-07-01,1632.95
2004-07-02,1641.55
2004-07-05,1645.24
2004-07-06,1615.26
2004-07-07,1608.04
2004-07-08,1597.6
2004-07-12,1641.46
2004-07-13,1647.39
2004-07-14,1650.1
2004-07-15,1676.46
2004-07-16,1695.07
2004-07-19,1671.18
2004-07-20,1670.3
2004-07-21,1637.42
2004-07-22,1600.02
2004-07-23,1597.07
2004-07-26,1590.85
2004-07-27,1620.35
2004-07-28,1647.52
2004-07-29,1649.66
2004-07-30,1648.94
2004-08-02,1654.46
2004-08-03,1654.39
2004-08-04,1638.35
2004-08-05,1598.12
2004-08-06,1609.66
2004-08-09,1593.5
2004-08-10,1634.04
2004-08-11,1624.61
2004-08-12,1632.74
2004-08-13,1627.28
2004-08-16,1654.99
2004-08-17,1671.53
2004-08-18,1715.56
2004-08-19,1725.0
2004-08-20,1734.45
2004-08-23,1707.26
2004-08-24,1706.57
2004-08-25,1718.39
2004-08-26,1689.64
2004-08-27,1687.55
2004-08-30,1695.93
2004-08-31,1689.2
2004-09-01,1685.94
2004-09-02,1702.15
2004-09-03,1686.44
2004-09-06,1690.05
2004-09-08,1700.12
2004-09-09,1694.1
2004-09-10,1675.1
2004-09-13,1675.44
2004-09-14,1705.02
2004-09-15,1700.27
2004-09-16,1731.69
2004-09-17,1740.42
2004-09-20,1740.06
2004-09-21,1739.4
2004-09-22,1720.07
2004-09-23,1724.95
2004-09-24,1724.74
2004-09-27,1710.17
2004-09-28,1734.07
2004-09-29,1737.95
2004-09-30,1746.19
2004-10-01,1793.59
2004-10-04,1808.7
2004-10-05,1807.58
2004-10-06,1798.28
2004-10-07,1794.73
2004-10-08,1795.49
2004-10-11,1801.31
2004-10-13,1773.64
2004-10-14,1760.65
2004-10-15,1789.5
2004-10-18,1791.49
2004-10-19,1765.43
2004-10-20,1767.93
2004-10-21,1795.55
2004-10-22,1792.5
2004-10-25,1792.14
2004-10-26,1799.95
2004-10-27,1809.02
2004-10-28,1807.24
2004-10-29,1820.04
2004-11-01,1824.09
2004-11-03,1838.7
2004-11-04,1855.24
2004-11-05,1843.89
2004-11-08,1822.71
2004-11-09,1830.12
2004-11-10,1855.48
2004-11-11,1843.07
2004-11-12,1864.07
2004-11-16,1845.97
2004-11-17,1868.58
2004-11-18,1849.88
2004-11-19,1841.31
2004-11-22,1859.67
2004-11-23,1853.06
2004-11-24,1867.14
2004-11-25,1887.59
2004-11-26,1899.4
2004-11-29,1899.43
2004-11-30,1909.35
2004-12-01,1928.38
2004-12-02,1935.76
2004-12-03,1956.3
2004-12-06,1993.23
2004-12-07,1971.27
2004-12-08,1982.0
2004-12-09,1956.13
2004-12-10,1992.07
2004-12-13,2017.89
2004-12-14,2040.04
2004-12-15,2014.66
2004-12-16,2033.09
2004-12-17,2016.16
2004-12-20,2006.67
2004-12-21,2036.62
2004-12-22,2025.74
2004-12-23,2049.57
2004-12-27,2047.83
2004-12-28,2066.74
2004-12-29,2065.45
2004-12-30,2056.03
2005-01-03,2055.01
2005-01-04,1999.04
2005-01-05,1977.03
2005-01-06,1957.27
2005-01-07,1979.06
2005-01-10,1946.86
2005-01-11,1947.48
2005-01-12,1939.16
2005-01-13,1955.47
2005-01-14,1963.92
2005-01-17,1929.18
2005-01-18,1909.88
2005-01-19,1923.94
2005-01-20,1878.54
2005-01-21,1886.24
2005-01-24,1907.67
2005-01-26,1925.81
2005-01-27,1895.74
2005-01-28,1887.75
2005-01-31,1914.61
2005-02-01,1905.71
2005-02-02,1942.98
2005-02-03,1965.7
2005-02-04,2032.09
2005-02-09,2073.84
2005-02-10,2076.26
2005-02-11,2093.84
2005-02-14,2092.13
2005-02-15,2101.2
2005-02-16,2059.63
2005-02-17,2092.05
2005-02-18,2066.21
2005-02-21,2071.03
2005-02-22,2070.95
2005-02-23,2098.96
2005-02-24,2190.38
2005-02-25,2174.01
2005-02-28,2136.34
2005-03-01,2128.39
2005-03-02,2150.73
2005-03-03,2191.51
2005-03-04,2222.62
2005-03-07,2246.78
2005-03-08,2229.24
2005-03-09,2195.89
2005-03-10,2205.38
2005-03-11,2176.58
2005-03-14,2169.45
2005-03-15,2128.05
2005-03-16,2137.73
2005-03-17,2159.35
2005-03-18,2125.87
2005-03-21,2101.98
2005-03-22,2056.22
2005-03-23,2016.78
2005-03-24,2056.85
2005-03-28,2026.85
2005-03-29,1987.32
2005-03-30,2023.19
2005-03-31,2036.0
2005-04-01,2036.49
2005-04-04,2012.36
2005-04-05,1990.49
2005-04-06,1969.12
2005-04-07,2005.59
2005-04-08,1982.55
2005-04-11,1983.74
2005-04-12,2002.67
2005-04-13,1992.02
2005-04-14,1919.26
2005-04-15,1897.71
2005-04-18,1906.46
2005-04-19,1936.7
2005-04-20,1904.24
2005-04-22,1885.79
2005-04-25,1918.57
2005-04-26,1934.24
2005-04-27,1926.75
2005-04-28,1884.98
2005-04-29,1891.16
2005-05-02,1907.21
2005-05-03,1908.79
2005-05-04,1966.54
2005-05-05,1951.94
2005-05-06,1972.39
2005-05-09,1972.85
2005-05-10,1935.27
2005-05-11,1917.9
2005-05-12,1872.22
2005-05-13,1868.45
2005-05-16,1905.87
2005-05-17,1903.28
2005-05-18,1936.02
2005-05-19,1931.32
2005-05-20,1909.98
2005-05-23,1889.74
2005-05-24,1905.33
2005-05-25,1900.19
2005-05-27,1946.95
2005-05-30,1951.29
2005-05-31,1932.62
2005-06-01,1984.06
2005-06-02,2034.89
2005-06-03,2040.03
2005-06-06,2002.88
2005-06-07,1976.34
2005-06-08,1963.01
2005-06-09,1957.14
2005-06-10,1977.52
2005-06-13,1974.61
2005-06-14,2032.01
2005-06-15,2016.29
2005-06-16,2029.08
2005-06-17,2046.45
2005-06-20,2047.02
2005-06-21,2021.89
2005-06-22,2017.7
2005-06-23,1978.15
2005-06-24,1983.01
2005-06-27,2000.51
2005-06-28,2008.76
2005-06-29,2002.18
2005-06-30,1999.64
2005-07-01,2012.82
2005-07-04,1987.96
2005-07-05,1973.65
2005-07-06,1967.07
2005-07-07,1958.79
2005-07-08,1955.22
2005-07-11,1982.25
2005-07-12,1998.82
2005-07-13,2026.19
2005-07-14,2027.39
2005-07-15,1989.31
2005-07-18,1992.59
2005-07-19,1992.29
2005-07-20,2008.02
