Date,Close
2017-12-28,1000.0
2018-01-02,1003.44
2018-01-03,1008.15
2018-01-04,1006.88
2018-01-05,1004.31
2018-01-08,1002.4
2018-01-09,1001.93
2018-01-10,1003.19
2018-01-11,1004.38
2018-01-12,1006.95
2018-01-15,1005.85
2018-01-16,1010.97
2018-01-17,1012.33
2018-01-18,1014.54
2018-01-19,1014.27
2018-01-22,1012.55
2018-01-23,1010.16
2018-01-24,1014.33
2018-01-26,1019.6
2018-01-29,1019.15
2018-01-30,1020.08
2018-01-31,1023.51
2018-02-01,1017.47
2018-02-02,1017.43
2018-02-05,1015.67
2018-02-06,1015.18
2018-02-07,1014.7
2018-02-08,1014.18
2018-02-09,1016.35
2018-02-14,1015.3
2018-02-15,1016.4
2018-02-16,1019.44
2018-02-19,1020.37
2018-02-20,1022.23
2018-02-21,1023.65
2018-02-22,1024.98
2018-02-23,1028.1
2018-02-26,1030.35
2018-02-27,1030.02
2018-02-28,1037.55
2018-03-01,1032.96
2018-03-02,1030.64
2018-03-05,1029.33
2018-03-06,1029.05
2018-03-07,1031.73
2018-03-08,1034.75
2018-03-09,1037.29
2018-03-12,1041.11
2018-03-13,1042.44
2018-03-14,1043.0
2018-03-15,1045.13
2018-03-16,1045.01
2018-03-19,1045.78
2018-03-20,1049.24
2018-03-21,1048.43
2018-03-22,1051.32
2018-03-23,1052.79
2018-03-26,1057.05
2018-03-27,1059.16
2018-03-28,1061.3
2018-03-29,1062.37
2018-04-02,1061.28
2018-04-03,1063.87
2018-04-04,1062.91
2018-04-05,1058.52
2018-04-06,1063.04
2018-04-09,1057.66
2018-04-10,1053.95
2018-04-11,1054.08
2018-04-12,1053.63
2018-04-13,1055.92
2018-04-16,1053.98
2018-04-17,1041.61
2018-04-18,1039.52
2018-04-19,1039.72
2018-04-20,1038.47
2018-04-23,1036.98
2018-04-24,1034.65
2018-04-25,1028.94
2018-04-26,1032.39
2018-04-27,1035.25
2018-04-30,1040.86
2018-05-02,1037.13
2018-05-03,1037.76
2018-05-04,1037.03
2018-05-07,1032.14
2018-05-08,1031.81
2018-05-09,1028.67
2018-05-10,1027.68
2018-05-11,1027.6
2018-05-14,1026.19
2018-05-15,1023.55
2018-05-16,1017.62
2018-05-17,1012.54
2018-05-18,1006.21
2018-05-21,1001.77
2018-05-22,993.4
2018-05-23,994.51
2018-05-24,989.9
2018-05-25,988.74
2018-05-28,979.61
2018-05-29,985.65
2018-05-30,989.17
2018-06-01,
2018-06-04,
2018-06-05,
2018-06-06,
2018-06-07,
2018-06-08,
2018-06-11,
2018-06-12,
2018-06-13,
2018-06-14,
2018-06-15,
2018-06-18,
2018-06-19,
2018-06-20,
2018-06-21,
2018-06-22,
2018-06-25,
2018-06-26,
2018-06-27,
2018-06-28,
2018-06-29,
2018-07-02,
2018-07-03,
2018-07-04,
2018-07-05,
2018-07-06,
2018-07-10,
2018-07-11,
2018-07-12,
2018-07-13,
2018-07-16,
2018-07-17,
2018-07-18,
2018-07-19,
2018-07-20,
2018-07-23,
2018-07-24,
2018-07-25,
2018-07-26,
2018-07-27,
2018-07-30,
2018-07-31,
2018-08-01,
2018-08-02,
2018-08-03,
2018-08-06,
2018-08-07,
2018-08-08,
2018-08-09,
2018-08-10,
2018-08-13,
2018-08-14,
2018-08-15,
2018-08-16,
2018-08-17,
2018-08-20,
2018-08-21,
2018-08-22,
2018-08-23,
2018-08-24,
2018-08-27,
2018-08-28,
2018-08-29,
2018-08-30,
2018-08-31,
2018-09-03,
2018-09-04,
2018-09-05,
2018-09-06,
2018-09-10,
2018-09-11,
2018-09-12,
2018-09-13,
2018-09-14,
2018-09-17,
2018-09-18,
2018-09-19,
2018-09-20,
2018-09-21,
2018-09-24,
2018-09-25,
2018-09-26,
2018-09-27,
2018-09-28,
2018-10-01,954.99
2018-10-02,958.11
2018-10-03,965.76
2018-10-04,963.95
2018-10-05,970.55
2018-10-08,973.86
2018-10-09,980.41
2018-10-10,981.69
2018-10-11,981.39
2018-10-15,987.72
2018-10-16,986.7
2018-10-17,987.13
2018-10-18,987.4
2018-10-19,987.76
2018-10-22,991.58
2018-10-23,993.87
2018-10-24,993.99
2018-10-25,996.0
2018-10-26,1000.44
2018-10-29,1003.06
2018-10-30,1007.93
2018-10-31,1010.86
2018-11-01,1013.5
2018-11-05,1014.34
2018-11-06,1012.03
2018-11-07,1013.61
2018-11-08,1015.42
2018-11-09,1018.07
2018-11-12,1018.57
2018-11-13,1018.56
2018-11-14,1026.5
2018-11-16,1028.52
2018-11-19,1029.95
2018-11-21,1026.44
2018-11-22,1027.71
2018-11-23,1028.09
2018-11-26,1031.13
2018-11-27,1030.73
2018-11-28,1032.3
2018-11-29,1037.64
2018-11-30,1036.96
2018-12-03,1037.69
2018-12-04,1034.02
2018-12-05,1034.56
2018-12-06,1034.88
2018-12-07,1035.9
2018-12-10,1036.25
2018-12-11,1036.88
2018-12-12,1035.41
2018-12-13,1038.0
2018-12-14,1040.54
2018-12-17,1040.61
2018-12-18,1042.71
2018-12-19,1042.62
2018-12-20,1044.1
2018-12-21,1052.03
2018-12-26,1051.51
2018-12-27,1057.16
2018-12-28,1060.28
2019-01-02,1067.25
2019-01-03,1072.25
2019-01-04,1074.18
2019-01-07,1076.11
2019-01-08,1076.05
2019-01-09,1077.16
2019-01-10,1073.79
2019-01-11,1074.29
2019-01-14,1075.27
2019-01-15,1074.1
2019-01-16,1076.08
2019-01-17,1075.72
2019-01-18,1079.54
2019-01-21,1077.78
2019-01-22,1078.08
2019-01-23,1075.51
2019-01-24,1073.43
2019-01-28,1069.0
2019-01-29,1076.11
2019-01-30,1078.21
2019-01-31,1082.04
2019-02-01,1081.39
2019-02-04,1080.91
2019-02-05,1079.97
2019-02-06,1077.09
2019-02-07,1077.79
2019-02-08,1078.77
2019-02-11,1081.1
2019-02-12,1078.21
2019-02-13,1079.39
2019-02-14,1079.38
2019-02-15,1081.2
2019-02-18,1084.63
2019-02-19,1084.01
2019-02-20,1086.42
2019-02-21,1082.59
2019-02-22,1084.28
2019-02-25,1080.54
2019-02-26,1083.7
2019-02-27,1089.34
2019-02-28,1095.25
2019-03-01,1100.16
2019-03-06,1103.96
2019-03-07,1107.16
2019-03-08,1107.77
2019-03-11,1109.69
2019-03-12,1110.06
2019-03-13,1110.23
2019-03-14,1113.25
2019-03-15,1119.98
2019-03-18,1121.34
2019-03-19,1118.23
2019-03-20,1119.73
2019-03-21,1119.28
2019-03-22,1113.96
2019-03-25,1114.88
2019-03-26,1117.79
2019-03-27,1114.7
2019-03-28,1116.09
2019-03-29,1119.22
2019-04-01,1118.84
2019-04-02,1119.88
2019-04-03,1121.65
2019-04-04,1121.28
2019-04-05,1120.31
2019-04-08,1117.73
2019-04-09,1118.82
2019-04-10,1118.61
2019-04-11,1120.65
2019-04-12,1118.64
2019-04-15,1121.21
2019-04-16,1117.3
2019-04-17,1118.84
2019-04-18,1120.64
2019-04-22,1120.49
2019-04-23,1121.68
2019-04-24,1119.92
2019-04-25,1119.46
2019-04-26,1121.72
2019-04-29,1120.62
2019-04-30,1125.35
2019-05-02,1122.19
2019-05-03,1122.34
2019-05-06,1118.93
2019-05-07,1118.43
2019-05-08,1118.16
2019-05-09,1116.94
2019-05-10,1115.98
2019-05-13,1111.67
2019-05-14,1113.72
2019-05-15,1115.13
2019-05-16,1117.56
2019-05-17,1117.54
2019-05-20,1117.72
2019-05-21,1120.69
2019-05-22,1123.48
2019-05-23,1123.59
2019-05-24,1127.28
2019-05-27,1127.55
2019-05-28,1128.99
2019-05-29,1132.63
2019-05-30,1140.34
2019-05-31,1143.91
2019-06-03,1146.54
2019-06-04,1146.93
2019-06-05,1146.93
2019-06-06,1146.8
2019-06-07,1150.56
2019-06-10,1148.93
2019-06-11,1146.66
2019-06-12,1146.37
2019-06-13,1145.81
2019-06-14,1146.27
2019-06-17,1146.49
2019-06-18,1151.16
2019-06-19,1154.92
2019-06-21,1160.5
2019-06-24,1163.0
2019-06-25,1162.35
2019-06-26,1164.32
2019-06-27,1165.11
2019-06-28,1172.25
2019-07-01,1173.33
2019-07-02,1174.22
2019-07-03,1178.59
2019-07-04,1176.94
2019-07-05,1179.74
2019-07-08,1177.86
2019-07-10,1172.13
2019-07-11,1170.09
