Date,Close
2004-12-30,858.4
2005-01-03,
2005-01-04,
2005-01-05,
2005-01-06,
2005-01-07,
2005-01-10,
2005-01-11,
2005-01-12,
2005-01-13,
2005-01-14,
2005-01-17,
2005-01-18,
2005-01-19,
2005-01-20,
2005-01-21,
2005-01-24,
2005-01-26,
2005-01-27,
2005-01-28,
2005-01-31,
2005-02-01,
2005-02-02,
2005-02-03,
2005-02-04,
2005-02-09,
2005-02-10,
2005-02-11,
2005-02-14,
2005-02-15,
2005-02-16,
2005-02-17,
2005-02-18,
2005-02-21,
2005-02-22,
2005-02-23,
2005-02-24,
2005-02-25,
2005-02-28,
2005-03-01,968.38
2005-03-02,972.01
2005-03-03,998.26
2005-03-04,1018.29
2005-03-07,1033.87
2005-03-08,1022.48
2005-03-09,1005.47
2005-03-10,1004.92
2005-03-11,998.07
2005-03-14,987.29
2005-03-15,977.31
2005-03-16,987.79
2005-03-17,995.27
2005-03-18,975.34
2005-03-21,949.02
2005-03-22,937.64
2005-03-23,915.02
2005-03-24,939.37
2005-03-28,913.68
2005-03-29,891.95
2005-03-30,909.39
2005-03-31,919.76
2005-04-01,
2005-04-04,
2005-04-05,
2005-04-06,
2005-04-07,
2005-04-08,
2005-04-11,
2005-04-12,
2005-04-13,
2005-04-14,
2005-04-15,
2005-04-18,
2005-04-19,
2005-04-20,
2005-04-22,
2005-04-25,
2005-04-26,
2005-04-27,
2005-04-28,
2005-04-29,
2005-05-02,
2005-05-03,
2005-05-04,
2005-05-05,
2005-05-06,
2005-05-09,
2005-05-10,
2005-05-11,
2005-05-12,
2005-05-13,
2005-05-16,
2005-05-17,
2005-05-18,
2005-05-19,
2005-05-20,
2005-05-23,
2005-05-24,
2005-05-25,
2005-05-27,
2005-05-30,
2005-05-31,
2005-06-01,
2005-06-02,
2005-06-03,
2005-06-06,
2005-06-07,
2005-06-08,
2005-06-09,
2005-06-10,
2005-06-13,
2005-06-14,
2005-06-15,
2005-06-16,
2005-06-17,
2005-06-20,
2005-06-21,
2005-06-22,
2005-06-23,
2005-06-24,
2005-06-27,
2005-06-28,
2005-06-29,
2005-06-30,
2005-07-01,
2005-07-04,
2005-07-05,
2005-07-06,
2005-07-07,
2005-07-08,
2005-07-11,
2005-07-12,
2005-07-13,
2005-07-14,
2005-07-15,
2005-07-18,
2005-07-19,
2005-07-20,
2005-07-21,
2005-07-22,
2005-07-25,
2005-07-26,
2005-07-27,
2005-07-28,
2005-07-29,
2005-08-01,981.99
2005-08-02,1015.42
2005-08-03,1006.43
2005-08-04,1006.28
2005-08-05,990.58
2005-08-08,1005.66
2005-08-09,1034.78
2005-08-10,1058.95
2005-08-11,1045.74
2005-08-12,1054.39
2005-08-15,1088.95
2005-08-16,1080.09
2005-08-17,1096.96
2005-08-18,1085.94
2005-08-19,1067.12
2005-08-22,1080.89
2005-08-23,1065.77
2005-08-24,1070.8
2005-08-25,1094.85
2005-08-26,1081.64
2005-08-29,1093.26
2005-08-30,1090.21
2005-08-31,1115.17
2005-09-01,1120.31
2005-09-02,1138.32
2005-09-05,1137.9
2005-09-06,1162.7
2005-09-08,1157.92
2005-09-09,1169.08
2005-09-12,1166.07
2005-09-13,1139.81
2005-09-14,1140.63
2005-09-15,1154.63
2005-09-16,1161.94
2005-09-19,1182.85
2005-09-20,1211.93
2005-09-21,1240.12
2005-09-22,1245.02
2005-09-23,1254.99
2005-09-26,1250.81
2005-09-27,1219.98
2005-09-28,1232.94
2005-09-29,1236.27
2005-09-30,1259.08
2005-10-03,1285.82
2005-10-04,1295.04
2005-10-05,1258.76
2005-10-06,1217.95
2005-10-07,1257.12
2005-10-10,1253.41
2005-10-11,1282.27
2005-10-13,1226.39
2005-10-14,1220.21
2005-10-17,1264.24
2005-10-18,1237.31
2005-10-19,1211.81
2005-10-20,1178.02
2005-10-21,1201.01
2005-10-24,1237.47
2005-10-25,1216.16
2005-10-26,1236.45
2005-10-27,1212.38
2005-10-28,1224.68
2005-10-31,1275.1
2005-11-01,1306.43
2005-11-03,1296.99
2005-11-04,1298.84
2005-11-07,1326.43
2005-11-08,1340.73
2005-11-09,1340.39
2005-11-10,1355.51
2005-11-11,1355.51
2005-11-14,1354.72
2005-11-16,1360.1
2005-11-17,1396.25
2005-11-18,1380.08
2005-11-21,1383.36
2005-11-22,1392.76
2005-11-23,1416.34
2005-11-24,1411.46
2005-11-25,1419.41
2005-11-28,1409.42
2005-11-29,1406.65
2005-11-30,1406.87
2005-12-01,1435.82
2005-12-02,1464.46
2005-12-05,1477.33
2005-12-06,1509.89
2005-12-07,1483.94
2005-12-08,1429.14
2005-12-09,1425.96
2005-12-12,1437.58
2005-12-13,1442.8
2005-12-14,1440.29
2005-12-15,1439.8
2005-12-16,1448.79
2005-12-19,1425.69
2005-12-20,1426.29
2005-12-21,1464.48
2005-12-22,1482.02
2005-12-23,1473.9
2005-12-26,1456.03
2005-12-27,1473.45
2005-12-28,1457.6
2005-12-29,1451.99
2006-01-02,1455.96
2006-01-03,1507.83
2006-01-04,1570.96
2006-01-05,1565.28
2006-01-06,1607.38
2006-01-09,1614.4
2006-01-10,1590.99
2006-01-11,1619.85
2006-01-12,1617.97
2006-01-13,1634.01
2006-01-16,1668.79
2006-01-17,1647.69
2006-01-18,1637.85
2006-01-19,1721.66
2006-01-20,1707.09
2006-01-23,1699.23
2006-01-24,1746.1
2006-01-26,1784.32
2006-01-27,1762.93
2006-01-30,1790.78
2006-01-31,1811.13
2006-02-01,1848.6
2006-02-02,1818.85
2006-02-03,1787.04
2006-02-06,1800.23
2006-02-07,1747.71
2006-02-08,1745.62
2006-02-09,1786.47
2006-02-10,1821.76
2006-02-13,1794.0
2006-02-14,1806.88
2006-02-15,1823.49
2006-02-16,1894.83
2006-02-17,1880.44
2006-02-20,1883.25
2006-02-21,1862.79
2006-02-22,1842.03
2006-02-23,1829.83
2006-02-24,1845.65
2006-03-01,1890.91
2006-03-02,1881.68
2006-03-03,1885.94
2006-03-06,1844.51
2006-03-07,1800.08
2006-03-08,1788.34
2006-03-09,1732.53
2006-03-10,1783.08
2006-03-13,1806.3
2006-03-14,1839.23
2006-03-15,1861.99
2006-03-16,1884.7
2006-03-17,1893.22
2006-03-20,1893.96
2006-03-21,1834.28
2006-03-22,1882.96
2006-03-23,1841.38
2006-03-24,1839.69
2006-03-27,1805.86
2006-03-28,1732.52
2006-03-29,1751.76
2006-03-30,1742.62
2006-03-31,1752.2
2006-04-03,1802.41
2006-04-04,1818.53
2006-04-05,1812.2
2006-04-06,1816.82
2006-04-07,1805.69
2006-04-10,1761.23
2006-04-11,1726.73
2006-04-12,1723.76
2006-04-13,1703.81
2006-04-17,1707.24
2006-04-18,1754.42
2006-04-19,1794.8
2006-04-20,1820.76
2006-04-24,1803.21
2006-04-25,1808.14
2006-04-26,1840.16
2006-04-27,1822.03
2006-04-28,1835.22
2006-05-02,1882.89
2006-05-03,1889.65
2006-05-04,1913.25
2006-05-05,1941.33
2006-05-08,1977.24
2006-05-09,1985.78
2006-05-10,1966.23
2006-05-11,1930.99
2006-05-12,1921.61
2006-05-15,1861.53
2006-05-16,1875.79
2006-05-17,1834.22
2006-05-18,1800.55
2006-05-19,1779.0
2006-05-22,1710.21
2006-05-23,1694.58
2006-05-24,1648.18
2006-05-25,1734.97
2006-05-26,1781.14
2006-05-29,1761.96
2006-05-30,1676.45
2006-05-31,1665.36
2006-06-01,1739.83
2006-06-02,1733.04
2006-06-05,1694.75
2006-06-06,1656.48
2006-06-07,1581.83
2006-06-08,1560.05
2006-06-09,1574.75
2006-06-12,1507.91
2006-06-13,1460.51
2006-06-14,1469.34
2006-06-16,1545.07
2006-06-19,1531.19
2006-06-20,1538.95
2006-06-21,1573.17
2006-06-22,1546.49
2006-06-23,1557.78
2006-06-26,1551.91
2006-06-27,1519.82
2006-06-28,1527.58
2006-06-29,1628.06
2006-06-30,1643.06
2006-07-03,1707.71
2006-07-04,1704.17
2006-07-05,1647.28
2006-07-06,1659.69
2006-07-07,1635.46
2006-07-10,1623.54
2006-07-11,1638.74
2006-07-12,1615.12
2006-07-13,1577.5
2006-07-14,1565.07
2006-07-17,1537.35
2006-07-18,1534.86
2006-07-19,1642.02
2006-07-20,1619.23
2006-07-21,1624.89
2006-07-24,1677.97
2006-07-25,1701.08
2006-07-26,1698.08
2006-07-27,1697.2
2006-07-28,1720.91
2006-07-31,1720.77
2006-08-01,1686.88
2006-08-02,1699.27
2006-08-03,1692.73
2006-08-04,1732.13
2006-08-07,1722.23
2006-08-08,1714.05
2006-08-09,1706.06
2006-08-10,1728.85
2006-08-11,1720.94
2006-08-14,1688.4
2006-08-15,1750.11
2006-08-16,1755.13
2006-08-17,1765.91
2006-08-18,1752.24
2006-08-21,1724.4
2006-08-22,1719.94
2006-08-23,1672.85
2006-08-24,1677.74
2006-08-25,1656.31
2006-08-28,1704.87
2006-08-29,1705.58
2006-08-30,1714.44
2006-08-31,1713.99
2006-09-01,1776.94
2006-09-04,1789.38
2006-09-05,1757.88
2006-09-06,1727.37
2006-09-08,1730.76
2006-09-11,1708.48
2006-09-12,1760.38
2006-09-13,1781.19
2006-09-14,1763.12
2006-09-15,1772.3
2006-09-18,1775.45
2006-09-19,1747.44
2006-09-20,1733.59
2006-09-21,1684.47
2006-09-22,1678.94
2006-09-25,1702.49
2006-09-26,1724.93
2006-09-27,1728.17
2006-09-28,1748.65
2006-09-29,1739.34
2006-10-02,1770.83
2006-10-03,1752.52
2006-10-04,1828.97
2006-10-05,1862.8
2006-10-06,1863.17
2006-10-09,1885.03
2006-10-10,1892.81
2006-10-11,1870.13
2006-10-13,1896.12
2006-10-16,1894.22
2006-10-17,1876.35
2006-10-18,1892.21
2006-10-19,1898.94
2006-10-20,1878.89
2006-10-23,1920.2
2006-10-24,1926.63
2006-10-25,1931.99
2006-10-26,1924.73
2006-10-27,1907.24
2006-10-30,1888.88
2006-10-31,1882.0
2006-11-01,1894.22
2006-11-03,1905.27
2006-11-06,1945.1
2006-11-07,1939.98
2006-11-08,1955.94
2006-11-09,1900.44
2006-11-10,1898.51
2006-11-13,1922.83
2006-11-14,1962.44
2006-11-16,1973.8
2006-11-17,1980.42
2006-11-21,1994.4
2006-11-22,2035.56
2006-11-23,2036.8
2006-11-24,2001.71
2006-11-27,1962.62
2006-11-28,1968.13
2006-11-29,2000.86
2006-11-30,2007.45
2006-12-01,1991.61
2006-12-04,2049.5
2006-12-05,2050.8
2006-12-06,2063.91
2006-12-07,2044.93
2006-12-08,2061.58
2006-12-11,2075.95
2006-12-12,2049.51
2006-12-13,2075.59
2006-12-14,2096.21
2006-12-15,2099.8
2006-12-18,2081.38
2006-12-19,2076.66
2006-12-20,2090.76
2006-12-21,2099.54
2006-12-22,2087.24
2006-12-26,2105.38
2006-12-27,2163.07
2006-12-28,2190.11
2007-01-02,2237.16
2007-01-03,2224.49
2007-01-04,2230.16
2007-01-05,2142.59
2007-01-08,2189.52
2007-01-09,2145.75
2007-01-10,2135.57
2007-01-11,2172.39
2007-01-12,2194.52
2007-01-15,2204.69
2007-01-16,2198.09
2007-01-17,2217.25
2007-01-18,2210.36
2007-01-19,2253.36
2007-01-22,2255.6
2007-01-23,2260.28
2007-01-24,2284.52
2007-01-26,2287.11
2007-01-29,2234.34
2007-01-30,2246.95
2007-01-31,2255.84
2007-02-01,2245.96
2007-02-02,2265.1
2007-02-05,2264.65
2007-02-06,2267.06
2007-02-07,2265.75
2007-02-08,2258.4
2007-02-09,2208.26
2007-02-12,2193.42
2007-02-13,2206.93
2007-02-14,2280.24
2007-02-15,2254.59
2007-02-16,2231.22
2007-02-21,2224.07
2007-02-22,2247.34
2007-02-23,2214.1
2007-02-26,2218.88
2007-02-27,2110.0
2007-02-28,2124.73
2007-03-01,2123.62
2007-03-02,2046.41
2007-03-05,2005.64
2007-03-06,2095.88
2007-03-07,2068.4
2007-03-08,2108.04
2007-03-09,2134.12
2007-03-12,2127.37
2007-03-13,2049.15
2007-03-14,2066.19
2007-03-15,2063.32
2007-03-16,2034.43
2007-03-19,2106.92
2007-03-20,2137.15
2007-03-21,2209.05
2007-03-22,2204.66
2007-03-23,2206.02
2007-03-26,2206.62
2007-03-27,2182.42
2007-03-28,2112.84
2007-03-29,2123.46
2007-03-30,2143.32
2007-04-02,2097.72
2007-04-03,2152.11
2007-04-04,2168.4
2007-04-05,2185.51
2007-04-09,2190.11
2007-04-10,2199.79
2007-04-11,2159.39
2007-04-12,2168.54
2007-04-13,2181.68
2007-04-16,2258.67
2007-04-17,2277.34
2007-04-18,2280.18
2007-04-19,2298.55
2007-04-20,2330.4
2007-04-23,2315.87
2007-04-24,2284.01
2007-04-25,2325.49
2007-04-26,2314.83
2007-04-27,2322.54
2007-04-30,2277.04
2007-05-02,2315.67
2007-05-03,2357.26
2007-05-04,2384.75
2007-05-07,2388.65
2007-05-08,2429.23
2007-05-09,2519.09
2007-05-10,2448.99
2007-05-11,2463.76
2007-05-14,2419.93
2007-05-15,2439.48
2007-05-16,2515.63
2007-05-17,2533.96
2007-05-18,2582.69
2007-05-21,2592.5
2007-05-22,2557.21
2007-05-23,2543.98
2007-05-24,2470.13
2007-05-25,2502.89
2007-05-28,2533.72
2007-05-29,2517.33
2007-05-30,2534.6
2007-05-31,2509.68
2007-06-01,2580.58
2007-06-04,2560.06
2007-06-05,2559.86
2007-06-06,2508.47
2007-06-08,2504.44
2007-06-11,2523.44
2007-06-12,2462.43
2007-06-13,2492.48
2007-06-14,2524.92
2007-06-15,2572.55
2007-06-18,2569.08
2007-06-19,2575.92
2007-06-20,2553.03
2007-06-21,2569.33
2007-06-22,2560.32
2007-06-25,2549.82
2007-06-26,2523.54
2007-06-27,2525.67
2007-06-28,2522.88
2007-06-29,2535.63
2007-07-02,2555.2
2007-07-03,2579.05
2007-07-04,2565.85
2007-07-05,2567.65
2007-07-06,2575.61
2007-07-10,2556.73
2007-07-11,2604.58
2007-07-12,2713.24
2007-07-13,2695.51
2007-07-16,2742.37
2007-07-17,2756.35
2007-07-18,2769.82
2007-07-19,2795.49
2007-07-20,2742.15
2007-07-23,2779.77
2007-07-24,2667.35
2007-07-25,2647.49
2007-07-26,2584.98
2007-07-27,2511.68
2007-07-30,2585.49
2007-07-31,2578.43
2007-08-01,2570.55
2007-08-02,2601.07
2007-08-03,2546.29
2007-08-06,2542.85
2007-08-07,2530.04
2007-08-08,2574.98
2007-08-09,2531.95
2007-08-10,2536.8
2007-08-13,2501.4
2007-08-14,2456.84
2007-08-15,2360.81
2007-08-16,2293.57
2007-08-17,2329.88
2007-08-20,2398.51
2007-08-21,2421.08
2007-08-22,2500.24
2007-08-23,2482.74
2007-08-24,2522.13
2007-08-27,2523.74
2007-08-28,2443.97
2007-08-29,2448.81
2007-08-30,2456.2
2007-08-31,2550.24
2007-09-03,2571.01
2007-09-04,2537.61
2007-09-05,2481.19
2007-09-06,2460.22
2007-09-10,2368.07
2007-09-11,2384.55
2007-09-12,2396.03
2007-09-13,2467.95
2007-09-14,2479.61
2007-09-17,2435.86
2007-09-18,2546.98
2007-09-19,2571.47
2007-09-20,2553.93
2007-09-21,2570.51
2007-09-24,2600.87
2007-09-25,2614.96
2007-09-26,2700.29
2007-09-27,2791.04
2007-09-28,2771.17
2007-10-01,2845.57
2007-10-02,2891.91
2007-10-03,2788.48
2007-10-04,2806.63
2007-10-05,2932.45
2007-10-08,2943.92
2007-10-09,2972.07
2007-10-10,2927.51
2007-10-11,2849.11
2007-10-15,2835.28
2007-10-16,2754.31
2007-10-17,2827.4
2007-10-18,2836.0
2007-10-19,2736.52
2007-10-22,2770.06
2007-10-23,2861.53
2007-10-24,2835.44
2007-10-25,2826.92
2007-10-26,2943.43
2007-10-29,2947.3
2007-10-30,2915.1
2007-10-31,2969.76
2007-11-01,2878.17
2007-11-05,2809.17
2007-11-06,2860.31
2007-11-07,2802.63
2007-11-08,2703.86
2007-11-09,2750.37
2007-11-12,2667.09
2007-11-13,2755.92
2007-11-14,2781.81
2007-11-16,2788.76
2007-11-19,2656.61
2007-11-21,2534.09
2007-11-22,2533.54
2007-11-23,2560.14
2007-11-26,2528.39
2007-11-27,2619.83
2007-11-28,2770.0
2007-11-29,2790.36
2007-11-30,2921.85
2007-12-03,2916.3
2007-12-04,2916.99
2007-12-05,2942.52
2007-12-06,2999.19
2007-12-07,3001.28
2007-12-10,2980.55
2007-12-11,2931.24
2007-12-12,2893.65
2007-12-13,2804.89
2007-12-14,2806.9
2007-12-17,2689.06
2007-12-18,2757.87
2007-12-19,2804.39
2007-12-20,2786.36
2007-12-21,2781.95
2007-12-26,2823.65
2007-12-27,2778.12
2007-12-28,2742.89
2008-01-02,2633.96
2008-01-03,2591.75
2008-01-04,2583.73
2008-01-07,2603.15
2008-01-08,2638.25
2008-01-09,2643.05
2008-01-10,2703.06
2008-01-11,2634.57
2008-01-14,2648.46
2008-01-15,2552.45
2008-01-16,2517.18
2008-01-17,2454.2
2008-01-18,2429.07
2008-01-21,2335.83
2008-01-22,2369.49
2008-01-23,2312.28
2008-01-24,2492.29
2008-01-28,2488.6
2008-01-29,2498.52
2008-01-30,2503.09
2008-01-31,2430.92
2008-02-01,2386.96
2008-02-06,2302.98
2008-02-07,2275.9
2008-02-08,2259.25
2008-02-11,2320.0
2008-02-12,2408.14
2008-02-13,2477.75
2008-02-14,2426.31
2008-02-15,2443.29
2008-02-18,2516.54
2008-02-19,2482.39
2008-02-20,2534.17
2008-02-21,2544.68
2008-02-22,2574.76
2008-02-25,2609.31
2008-02-26,2637.46
2008-02-27,2675.68
2008-02-28,2666.24
2008-02-29,2582.65
2008-03-03,2622.66
2008-03-04,2572.6
2008-03-05,2644.05
2008-03-06,2567.12
2008-03-07,2502.34
2008-03-10,2460.94
2008-03-11,2546.17
2008-03-12,2485.27
2008-03-13,2501.8
2008-03-14,2472.0
2008-03-17,2379.35
2008-03-18,2453.74
2008-03-19,2346.92
2008-03-20,2368.63
2008-03-24,2357.92
2008-03-25,2447.97
2008-03-26,2418.02
2008-03-27,2353.78
2008-03-28,2312.92
2008-03-31,2343.74
2008-04-01,2430.33
2008-04-02,2460.9
2008-04-03,2469.89
2008-04-04,2461.43
2008-04-07,2488.35
2008-04-08,2505.97
2008-04-09,2451.05
2008-04-10,2434.67
2008-04-11,2391.39
2008-04-14,2341.6
2008-04-15,2356.65
2008-04-16,2471.02
2008-04-17,2537.23
2008-04-18,2580.26
2008-04-22,2541.55
2008-04-23,2507.49
2008-04-24,2524.47
2008-04-25,2577.68
2008-04-28,2609.76
2008-04-29,2550.66
2008-04-30,2784.28
2008-05-02,2918.13
2008-05-05,2911.86
2008-05-06,2838.8
2008-05-07,2805.49
2008-05-08,2823.49
2008-05-09,2800.91
2008-05-12,2837.19
2008-05-13,2781.34
2008-05-14,2769.13
2008-05-15,2815.07
2008-05-16,2832.01
2008-05-19,2858.27
2008-05-20,2827.2
2008-05-21,2774.81
2008-05-23,2748.87
2008-05-26,2741.24
2008-05-27,2802.06
2008-05-28,2907.66
2008-05-29,2892.42
2008-05-30,2979.87
2008-06-02,2891.88
2008-06-03,2821.91
2008-06-04,2793.28
2008-06-05,2876.67
2008-06-06,2785.95
2008-06-09,2754.51
2008-06-10,2688.61
2008-06-11,2630.37
2008-06-12,2681.19
2008-06-13,2694.03
2008-06-16,2707.76
2008-06-17,2744.6
2008-06-18,2654.59
2008-06-19,2628.97
2008-06-20,2561.96
2008-06-23,2542.32
2008-06-24,2509.05
2008-06-25,2572.82
2008-06-26,2462.73
2008-06-27,2454.67
2008-06-30,2469.0
2008-07-01,2396.93
2008-07-02,2367.52
2008-07-03,2312.69
2008-07-04,2324.76
2008-07-07,2313.3
2008-07-08,2373.79
2008-07-10,2360.26
2008-07-11,2322.18
2008-07-14,2309.72
2008-07-15,2293.51
2008-07-16,2447.02
2008-07-17,2442.92
2008-07-18,2495.23
2008-07-21,2475.22
2008-07-22,2477.89
2008-07-23,2503.18
2008-07-24,2437.58
2008-07-25,2405.72
2008-07-28,2356.39
2008-07-29,2433.57
2008-07-30,2497.47
2008-07-31,2478.81
2008-08-01,2429.32
2008-08-04,2323.42
2008-08-05,2404.02
2008-08-06,2461.57
2008-08-07,2419.29
