IBLV - 2020
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;11.585,64;;13.098,82;13.867,85;;14.507,78;13.716,51;;15.769,79
2;16.979,41;;16.174,98;11.806,91;;13.402,38;13.839,57;;14.493,48;13.595,80;;15.703,07
3;16.960,29;16.782,32;16.090,34;11.483,57;;13.539,32;13.976,33;14.801,23;14.416,06;;13.809,95;15.726,59
4;;16.904,46;16.531,10;;12.260,40;13.612,49;;14.573,12;14.450,18;;14.040,93;15.772,19
5;;16.944,45;15.960,50;;12.370,18;13.714,73;;14.665,42;;13.777,19;14.491,78;
6;16.848,22;16.748,59;15.562,00;11.994,79;12.243,43;;14.106,11;14.864,29;;13.805,13;14.559,04;
7;16.833,33;16.608,90;;12.173,17;11.962,12;;13.945,27;14.736,73;;13.790,54;;15.808,80
8;16.712,65;;;12.486,67;12.283,70;14.011,38;14.144,13;;14.381,32;14.060,36;;15.778,73
9;16.723,90;;14.373,85;12.324,45;;13.956,13;14.011,19;;14.543,09;13.961,68;14.801,13;15.740,40
10;16.760,30;16.516,70;14.845,99;;;13.729,32;14.023,50;14.832,07;14.250,37;;14.999,45;15.976,28
11;;16.849,96;14.066,11;;12.174,14;;;14.646,27;14.062,80;;14.866,70;16.149,51
12;;17.085,41;12.392,98;;12.011,65;13.538,80;;14.533,11;;;14.679,08;
13;16.985,31;16.945,65;13.363,64;12.483,80;11.975,20;;13.871,99;14.344,06;;14.038,84;15.085,15;
14;17.081,24;16.716,06;;12.593,29;12.202,95;;13.922,97;14.502,15;14.257,94;14.141,94;;16.017,43
15;16.886,90;;;12.362,57;11.944,92;13.431,55;14.117,37;;14.318,98;14.103,29;;16.257,67
16;16.925,56;;11.646,10;12.250,35;;13.531,13;14.047,12;;14.259,71;14.059,92;15.350,47;16.468,87
17;17.054,59;16.752,06;12.430,25;12.412,63;;13.869,87;14.310,02;14.248,31;14.338,28;;15.515,55;16.545,91
18;;16.677,95;11.502,02;;12.293,93;13.888,44;;14.480,75;14.090,12;;15.329,97;16.453,81
19;;16.917,97;11.984,27;;12.091,89;14.002,66;;14.289,92;;14.083,03;15.340,07;
20;17.132,80;16.722,80;11.665,26;12.492,85;12.106,36;;14.539,63;14.363,87;;14.292,84;15.265,85;
21;16.925,14;16.815,77;;;12.370,32;;14.532,39;14.376,63;14.000,68;14.333,74;;16.142,72
22;17.102,11;;;12.810,27;12.319,72;13.870,45;14.629,71;;14.010,81;14.471,71;;16.298,28
23;17.219,57;;11.027,39;12.651,58;;13.767,94;14.404,45;;13.729,73;14.414,89;15.300,61;16.340,48
24;17.108,35;;11.576,50;11.996,13;;13.590,13;14.491,99;14.455,08;13.914,56;;15.481,05;
25;;;12.133,65;;12.737,77;13.807,87;;14.480,38;13.896,27;;15.516,75;
26;;15.921,54;12.658,24;;12.748,91;13.549,05;;14.276,69;;14.478,92;15.607,27;
27;16.794,49;15.491,96;12.029,45;12.319,23;13.056,32;;14.829,72;14.290,32;;14.342,04;15.710,37;
28;16.983,80;15.659,92;;12.590,10;12.918,81;;14.816,55;14.509,63;13.577,57;13.819,13;;16.585,75
29;16.900,79;;;12.687,99;12.992,07;13.721,12;14.919,17;;13.492,35;13.882,22;;16.619,13
30;16.828,55;;12.250,24;12.358,81;;13.635,09;14.979,33;;13.571,98;13.629,53;15.579,60;16.530,81
31;16.588,83;;11.918,52;;;;14.903,48;14.177,18;;;;
MÍNIMO;16.588,83;15.491,96;11.027,39;11.483,57;11.944,92;13.098,82;13.839,57;14.177,18;13.492,35;13.595,80;13.809,95;15.703,07
MÍNIMO;17.219,57;17.085,41;16.531,10;12.810,27;13.056,32;14.011,38;14.979,33;14.864,29;14.543,09;14.478,92;15.710,37;16.619,13
