IBSD - 2023
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;1.305,07;1.239,18;;;1.267,17;;1.382,20;1.364,76;;1.350,11;1.535,33
2;1.207,86;1.285,00;1.236,09;;1.229,73;1.290,11;;1.377,78;;1.338,81;;
3;1.189,74;1.269,44;1.237,85;1.201,03;1.229,51;;1.355,89;1.377,97;;1.319,84;1.383,81;
4;1.204,58;;;1.208,95;1.230,70;;1.348,04;1.371,51;1.366,59;1.320,43;;1.524,76
5;1.220,92;;;1.199,73;1.256,71;1.288,77;1.352,52;;1.354,27;1.318,99;;1.527,11
6;1.239,14;1.273,63;1.242,50;1.202,43;;1.304,67;1.338,29;;1.339,37;1.325,87;1.393,90;1.515,71
7;;1.261,94;1.244,92;;;1.309,35;1.356,35;1.370,19;;;1.410,16;1.516,17
8;;1.287,02;1.264,87;;1.262,74;;;1.361,17;1.334,41;;1.415,40;1.529,85
9;1.245,90;1.257,44;1.248,69;;1.271,56;1.329,34;;1.346,02;;1.331,44;1.409,32;
10;1.265,25;1.267,14;1.233,76;1.210,08;1.273,00;;1.347,49;1.345,47;;1.347,87;1.431,10;
11;1.284,52;;;1.248,25;1.279,49;;1.341,59;1.353,84;1.352,67;1.353,94;;1.523,06
12;1.276,85;;;1.261,68;1.278,33;1.329,68;1.341,70;;1.360,92;;;1.520,97
13;1.264,46;1.276,38;1.231,62;1.262,53;;1.323,28;1.362,79;;1.357,86;1.336,90;1.433,49;1.550,30
14;;1.267,63;1.232,29;1.261,20;;1.344,43;1.348,89;1.341,44;1.372,54;;1.471,00;1.560,02
15;;1.281,32;1.225,85;;1.280,60;1.347,11;;1.336,18;1.372,01;;;1.559,66
16;1.251,14;1.285,54;1.220,61;;1.267,17;1.341,22;;1.336,73;;1.347,75;1.493,73;
17;1.271,79;1.285,01;1.191,46;1.263,35;1.276,17;;1.352,95;1.327,38;;1.333,20;1.488,53;
18;1.286,71;;;1.261,72;1.281,85;;1.350,06;1.332,04;1.365,75;1.313,61;;1.570,30
19;1.291,59;;;1.241,50;1.284,77;1.353,25;1.343,65;;1.363,46;1.322,14;;1.580,42
20;1.287,65;;1.184,58;1.246,71;;1.354,08;1.348,24;;1.376,22;1.309,79;1.498,39;1.571,23
21;;;1.182,97;;;1.364,20;1.364,42;1.321,97;1.355,76;;1.499,11;1.587,88
22;;1.263,27;1.180,41;;1.284,05;1.344,02;;1.339,59;1.350,33;;1.500,82;1.596,16
23;1.286,32;1.262,23;1.162,36;;1.282,39;1.354,34;;1.347,92;;1.312,36;1.499,87;
24;1.299,98;1.242,48;1.173,80;1.240,21;1.274,21;;1.375,75;1.338,72;;1.320,51;1.486,77;
25;1.312,61;;;1.232,50;1.280,58;;1.387,66;1.329,72;1.348,90;1.310,97;;
26;1.320,83;;;1.226,10;1.287,06;1.349,79;1.395,88;;1.332,71;1.336,64;;1.608,46
27;1.307,53;1.238,77;1.182,13;1.236,76;;1.339,70;1.369,01;;1.327,81;1.321,72;1.493,73;1.616,53
28;;1.235,57;1.196,96;1.252,34;;1.328,27;1.370,51;1.345,03;1.341,43;;1.502,07;1.621,38
29;;;1.199,60;;1.283,58;1.348,27;;1.368,00;1.344,06;;1.504,34;
30;1.309,26;;1.218,96;;1.265,25;1.346,40;;1.361,63;;1.315,09;1.521,60;
31;1.326,34;;1.209,48;;1.253,60;;1.385,74;1.341,80;;1.322,60;;
MÍNIMO;1.189,74;1.235,57;1.162,36;1.199,73;1.229,51;1.267,17;1.338,29;1.321,97;1.327,81;1.309,79;1.350,11;1.515,71
MÍNIMO;1.326,34;1.305,07;1.264,87;1.263,35;1.287,06;1.364,20;1.395,88;1.382,20;1.376,22;1.353,94;1.521,60;1.621,38
