IDIV - 2014
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;;;3.277,05;;;3.425,93;3.624,93;3.916,09;3.351,22;;2.991,30
2;3.346,02;;;3.368,64;3.436,69;3.316,72;3.433,63;;3.978,53;3.367,22;;2.950,38
3;3.374,42;3.080,17;;3.355,76;;3.345,50;3.489,44;;3.971,66;3.416,88;3.183,80;2.981,32
4;;3.106,39;;3.337,58;;3.333,75;3.497,42;3.681,86;3.886,31;;3.198,36;2.930,83
5;;3.090,75;3.060,06;;3.446,90;3.325,20;;3.640,74;3.865,91;;3.128,89;2.950,97
6;3.360,58;3.173,34;3.077,21;;3.481,71;3.432,55;;3.675,76;;3.564,12;3.066,13;
7;3.321,52;3.173,96;3.019,35;3.402,15;3.503,34;;3.489,27;3.652,35;;3.627,98;3.108,55;
8;3.327,56;;;3.380,79;3.448,04;;3.481,84;3.613,94;3.765,24;3.615,87;;2.846,95
9;3.248,85;;;3.348,60;3.407,03;3.501,54;;;3.737,59;3.600,23;;2.808,90
10;3.273,41;3.159,40;2.981,96;3.343,15;;3.533,62;3.532,84;;3.710,10;3.493,11;3.069,39;2.743,34
11;;3.200,73;2.990,78;3.364,17;;3.566,11;3.549,11;3.678,65;3.713,03;;3.042,87;2.739,59
12;;3.201,57;3.002,82;;3.473,75;;;3.648,84;3.652,44;;3.050,63;2.660,12
13;3.256,93;3.155,25;2.992,44;;3.466,94;3.542,90;;3.578,31;;3.678,26;3.001,98;
14;3.275,62;3.170,02;2.970,09;3.369,75;3.512,86;;3.622,84;3.569,76;;3.696,50;2.984,90;
15;3.293,91;;;3.312,32;3.455,19;;3.643,87;3.673,59;3.707,56;3.596,06;;2.587,25
16;3.287,71;;;3.347,32;3.450,21;3.525,89;3.663,49;;3.782,60;3.464,78;;2.574,75
17;3.258,66;3.118,13;2.981,36;3.405,63;;3.509,11;3.649,84;;3.790,60;3.520,25;2.951,79;2.657,61
18;;3.066,62;3.055,55;;;3.575,92;3.721,45;3.698,41;3.747,71;;2.945,56;2.654,27
19;;3.099,15;3.078,44;;3.408,12;;;3.739,03;3.701,40;;3.015,83;2.748,89
20;3.223,72;3.107,80;3.126,02;;3.342,52;3.528,15;;3.800,83;;3.424,05;;
21;3.188,28;3.111,23;3.143,11;;3.329,88;;3.770,06;3.814,94;;3.322,75;3.206,18;
22;3.228,54;;;3.416,36;3.378,64;;3.799,65;3.774,05;3.615,99;3.305,49;;2.788,61
23;3.167,12;;;3.391,21;3.378,08;3.502,69;3.757,28;;3.598,43;3.208,83;;2.855,26
24;3.147,47;3.090,25;3.159,99;3.389,00;;3.476,14;3.784,94;;3.605,88;3.289,82;3.177,96;
25;;3.041,22;3.185,64;3.337,49;;3.445,73;3.772,54;3.850,37;3.563,87;;3.190,73;
26;;3.041,99;3.171,28;;3.401,39;3.460,90;;3.830,77;3.611,58;;3.142,24;2.811,17
27;3.131,25;3.107,98;3.262,26;;3.353,92;3.430,84;;3.907,49;;3.108,89;3.132,95;
28;3.144,05;3.088,67;3.265,45;3.316,47;3.384,17;;3.762,34;3.854,46;;3.195,07;3.132,64;
29;3.131,17;;;3.368,93;3.365,97;;3.712,57;3.923,34;3.435,36;3.085,97;;2.830,68
30;3.115,17;;;3.381,25;3.284,47;3.434,89;3.704,82;;3.415,40;3.108,10;;2.791,90
31;3.158,13;;3.308,40;;;;3.638,81;;;3.223,42;;
MÍNIMO;3.115,17;3.041,22;2.970,09;3.277,05;3.284,47;3.316,72;3.425,93;3.569,76;3.415,40;3.085,97;2.945,56;2.574,75
MÍNIMO;3.374,42;3.201,57;3.308,40;3.416,36;3.512,86;3.575,92;3.799,65;3.923,34;3.978,53;3.696,50;3.206,18;2.991,30
