IFIX - 2021
Dia;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez

1;;2.874,91;2.877,22;2.850,01;;2.811,56;2.754,03;;2.750,74;2.714,62;2.673,23;2.581,29
2;;2.880,70;2.858,81;;;2.821,95;2.760,17;2.812,66;2.745,42;;;2.582,87
3;;2.881,84;2.848,75;;2.862,43;;;2.800,61;2.733,24;;2.664,97;2.610,67
4;2.867,47;2.883,22;2.847,69;;2.856,22;2.827,76;;2.792,66;;2.707,39;2.655,40;
5;2.867,53;2.894,79;2.852,68;2.847,64;2.855,05;;2.755,59;2.781,02;;2.707,94;2.654,89;
6;2.869,74;;;2.843,98;2.855,28;;2.761,49;2.778,56;2.732,95;2.711,00;;2.643,10
7;2.863,51;;;2.843,30;2.856,63;2.827,51;2.762,35;;;2.710,86;;2.660,89
8;2.867,40;2.892,19;2.845,42;2.842,59;;2.829,65;2.762,03;;2.715,09;2.716,47;2.640,44;2.673,21
9;;2.892,10;2.842,75;2.849,29;;2.831,97;;2.769,53;2.720,14;;2.627,19;2.669,06
10;;2.892,16;2.833,63;;2.846,28;2.831,30;;2.755,49;2.727,91;;2.627,20;2.673,94
11;2.863,80;2.893,98;2.837,05;;2.839,40;2.828,76;;2.739,91;;2.727,06;2.621,88;
12;2.855,47;2.897,24;2.838,26;2.845,01;2.831,09;;2.797,90;2.722,32;;;2.617,76;
13;2.851,86;;;2.843,37;2.827,60;;2.823,81;2.741,11;2.727,50;2.727,86;;2.673,92
14;2.854,99;;;2.840,54;2.826,10;2.821,96;2.830,85;;2.728,31;2.732,67;;2.668,73
15;2.857,94;;2.830,93;2.843,51;;2.819,37;2.838,73;;2.730,93;2.743,93;;2.676,14
16;;;2.822,95;2.847,43;;2.815,53;2.841,35;2.725,10;2.727,68;;2.612,67;2.681,35
17;;2.895,40;2.817,20;;2.811,10;2.812,84;;2.708,30;2.729,83;;2.603,62;2.694,73
18;2.860,21;2.890,77;2.808,71;;2.808,13;2.813,31;;2.703,40;;2.747,55;2.591,02;
19;2.866,30;2.893,97;2.819,14;2.840,80;2.801,32;;2.836,18;2.690,63;;2.740,06;2.594,13;
20;2.870,21;;;2.841,92;2.806,47;;2.839,66;2.705,34;2.700,59;2.738,39;;2.695,05
21;2.870,60;;;;2.804,05;2.811,17;2.837,73;;2.699,37;2.724,94;;2.703,24
22;2.862,97;2.874,92;2.815,54;2.839,26;;2.797,57;2.834,13;;2.702,50;2.712,38;2.581,43;2.706,64
23;;2.890,43;2.813,96;2.844,63;;2.780,49;2.828,23;2.719,43;2.705,38;;2.563,61;2.724,60
24;;2.892,00;2.814,61;;2.802,82;2.781,25;;2.720,60;2.709,40;;2.546,87;
25;;2.893,80;2.813,80;;2.799,18;2.725,08;;2.720,95;;2.708,00;2.545,98;
26;2.861,74;2.886,53;2.817,70;2.844,48;2.788,35;;2.825,37;2.723,55;;2.693,64;2.541,52;
27;2.861,18;;;2.845,36;2.792,67;;2.817,51;2.731,21;2.711,76;2.680,78;;2.743,68
28;2.872,16;;;2.842,39;2.811,62;2.705,84;2.816,91;;2.700,32;2.673,93;;2.768,02
29;2.879,45;;2.818,90;2.849,01;;2.746,10;2.818,91;;2.700,36;2.675,68;2.563,76;2.789,32
30;;;2.831,81;2.861,15;;2.754,89;2.824,12;2.741,19;2.715,67;;2.578,40;2.804,79
31;;;2.846,77;;2.816,46;;;2.749,84;;;;
MÍNIMO;2.851,86;2.874,91;2.808,71;2.839,26;2.788,35;2.705,84;2.754,03;2.690,63;2.699,37;2.673,93;2.541,52;2.581,29
MÍNIMO;2.879,45;2.897,24;2.877,22;2.861,15;2.862,43;2.831,97;2.841,35;2.812,66;2.750,74;2.747,55;2.673,23;2.804,79
