Ativo;Retorno Anualizado;Volatilidade;Sharpe;Max Drawdown
IPCA + 6%;0,11757163343793153;0,06954035187755869;32,41046285844694;-0,0019655487785013026
IPCA;0,054349566813878925;0,06767549044025555;15,436303169124399;-0,01324543099200004
Carteira - AÇÃO;0,117024671664274;0,8084793176742762;3,17752728397897;-0,19656901363682122
Bitcoin BRL;0,60945163606633;0,5269551904049832;0,7747917584519995;-0,781854439208572
Bitcoin;0,5374089082784237;0,5214612550150567;0,7182910171591398;-0,7663456370856909
S&P 500 BRL;0,20799568346084207;0,22298774989874204;0,57995589105493;-0,3073411970077391
IVVB11;0,20143121197318448;0,21077820622179155;0,5702148686349091;-0,3071368495322996
IMID BRL;0,17031551397802192;0,1801213783040164;0,4921700772909345;-0,32082761662628156
S&P 500;0,15390105870886672;0,20179041201794273;0,3922022095338142;-0,33717277928799383
IMID;0,11790822524609279;0,16520383227578475;0,24499993791273456;-0,34699118076615054
SELIC;0,09088736081943827;0,0026303237309732315;0,0;0,0
TD IPCA 2045;0,029058252042193145;0,2726112296814018;-0,07496603724201556;-0,3727033431577842
TD IPCA 2035;0,06272026726309621;0,16014994237333857;-0,08032540336794769;-0,2202730948799595
