Date;Total Investido;Patrimônio Bruto
2015-12-16;1000,0;1000,0
2015-12-17;1000,0;1004,144069892347
2015-12-18;1000,0;999,5354163907615
2015-12-21;1000,0;1006,5001283649676
2015-12-22;1000,0;1011,0186142327833
2015-12-23;1000,0;1020,6728294756117
2015-12-24;1000,0;1022,5115440748099
2015-12-29;1000,0;1019,8539963382968
2015-12-30;1000,0;1022,3629606981492
2015-12-31;1000,0;1016,9810331007845
2016-01-04;2000,0;2024,0002918566192
2016-01-05;2000,0;2029,0708946758546
2016-01-06;2000,0;2041,5736924714024
2016-01-07;2000,0;2048,643897293146
2016-01-08;2000,0;2013,9877140888066
2016-01-11;2000,0;1993,2564451700068
2016-01-12;2000,0;2009,4743490606982
2016-01-13;2000,0;2004,5251831161231
2016-01-14;2000,0;1995,370920387366
2016-01-15;2000,0;1975,5542018301567
2016-01-18;2000,0;1975,3875009899616
2016-01-19;2000,0;1988,6043223757836
2016-01-20;2000,0;1954,9007566514852
2016-01-21;2000,0;1958,9987313166428
2016-01-22;2000,0;1944,220898801484
2016-01-25;2000,0;1948,4222028307347
2016-01-26;2000,0;1946,4722625631337
2016-01-27;2000,0;1957,1062482758666
2016-01-28;2000,0;1949,765712132879
2016-01-29;2000,0;1982,9431023920872
2016-02-01;3000,0;2973,1918930194893
2016-02-02;3000,0;2990,4326603107165
2016-02-03;3000,0;2913,885070405864
2016-02-04;3000,0;2910,377607382099
2016-02-05;3000,0;2915,757615430877
2016-02-10;3000,0;2923,933528318988
2016-02-11;3000,0;2911,21539301393
2016-02-12;3000,0;2934,654193132987
2016-02-15;3000,0;2995,1134320027595
2016-02-16;3000,0;3041,872462986432
2016-02-17;3000,0;3052,0100728679217
2016-02-18;3000,0;3055,2220873428882
2016-02-19;3000,0;3027,744408964975
2016-02-22;3000,0;3054,3049380387743
2016-02-23;3000,0;3064,2830075619536
2016-02-24;3000,0;3063,6241486820054
2016-02-25;3000,0;3082,086848286363
2016-02-26;3000,0;3103,5910201935167
2016-02-29;3000,0;3097,7812991081373
2016-03-01;4000,0;4117,100713242661
2016-03-02;4000,0;4060,7977401175326
2016-03-03;4000,0;4048,8958583624426
2016-03-04;4000,0;4342,246713913704
2016-03-07;4000,0;4277,385505181588
2016-03-08;4000,0;4227,683048329392
2016-03-09;4000,0;4314,810207491187
2016-03-10;4000,0;4346,5929333021
2016-03-11;4000,0;4327,52870459103
2016-03-14;4000,0;4380,181800463241
2016-03-15;4000,0;4306,76505159342
2016-03-16;4000,0;4262,605162246454
2016-03-17;4000,0;4316,9545795706235
2016-03-18;4000,0;4382,5946569332455
2016-03-21;4000,0;4436,374771073117
2016-03-22;4000,0;4476,57617938938
2016-03-23;4000,0;4578,948183474171
2016-03-24;4000,0;4477,158727094122
2016-03-29;4000,0;4501,168117049596
2016-03-30;4000,0;4521,952008229138
2016-03-31;4000,0;4477,2520197254635
2016-04-01;5000,0;5477,602480097262
2016-04-04;5000,0;5503,070798422157
2016-04-05;5000,0;5485,857805781789
2016-04-06;5000,0;5504,409790911848
2016-04-07;5000,0;5489,663868502404
2016-04-08;5000,0;5501,807058346089
2016-04-11;5000,0;5479,208848129747
2016-04-12;5000,0;5511,77419499435
2016-04-13;5000,0;5553,3271787308695
2016-04-14;5000,0;5643,447300959959
2016-04-15;5000,0;5642,641749829577
2016-04-18;5000,0;5763,464887150683
2016-04-19;5000,0;5717,321917651145
2016-04-20;5000,0;5643,625578302865
2016-04-22;5000,0;5645,826814070735
2016-04-25;5000,0;5587,847023679514
2016-04-26;5000,0;5602,027649136371
2016-04-27;5000,0;5601,11841142196
2016-04-28;5000,0;5652,292867817632
2016-04-29;5000,0;5594,700352205583
2016-05-03;6000,0;6689,94358724273
2016-05-04;6000,0;6701,849559423969
2016-05-05;6000,0;6703,18478863384
2016-05-06;6000,0;6808,240092223007
2016-05-09;6000,0;6786,467011350009
2016-05-10;6000,0;6720,363519329998
2016-05-11;6000,0;6836,462243123652
2016-05-12;6000,0;6781,178076501785
2016-05-13;6000,0;6884,77072117302
2016-05-16;6000,0;6884,014653447015
2016-05-17;6000,0;6881,087372118893
2016-05-18;6000,0;6854,4595823408945
2016-05-19;6000,0;6728,818387633085
2016-05-20;6000,0;6793,1373673331445
2016-05-23;6000,0;6773,541244888932
2016-05-24;6000,0;6698,130815802632
2016-05-25;6000,0;6739,603205458983
2016-05-27;6000,0;6789,761204172706
2016-05-31;6000,0;6797,3193239548855
2016-06-01;7000,0;7789,313264269869
2016-06-02;7000,0;7795,209869726952
2016-06-03;7000,0;7772,765033936233
2016-06-06;7000,0;7840,802593176981
2016-06-07;7000,0;7812,264027070474
2016-06-08;7000,0;7727,794727959379
2016-06-09;7000,0;7754,999339516118
2016-06-10;7000,0;7780,651814331389
2016-06-13;7000,0;7842,841072241188
2016-06-14;7000,0;7853,936927852705
2016-06-15;7000,0;7886,611184786339
2016-06-16;7000,0;7935,845844453253
2016-06-17;7000,0;7857,64992358777
2016-06-20;7000,0;7807,337221912903
2016-06-21;7000,0;7776,978772504482
2016-06-22;7000,0;7757,871067414565
2016-06-23;7000,0;7734,687207969131
2016-06-24;7000,0;7932,87286557514
2016-06-27;7000,0;7966,096436569128
2016-06-28;7000,0;7977,830895661081
2016-06-29;7000,0;7940,664915241122
2016-06-30;7000,0;7965,352120891834
2016-07-01;8000,0;9017,19093622533
2016-07-04;8000,0;9017,078154086206
2016-07-05;8000,0;9053,70303553744
2016-07-06;8000,0;9046,82512208484
2016-07-07;8000,0;9029,89233227372
2016-07-08;8000,0;9025,168512040675
2016-07-11;8000,0;9126,50168519978
2016-07-12;8000,0;9111,211942166827
2016-07-13;8000,0;9149,114368045135
2016-07-14;8000,0;9119,167068918106
2016-07-15;8000,0;9237,428606745307
2016-07-18;8000,0;9277,875979191871
2016-07-19;8000,0;9361,779664394568
2016-07-20;8000,0;9281,17481906643
2016-07-21;8000,0;9291,5958911541
2016-07-22;8000,0;9324,447788821064
2016-07-25;8000,0;9273,126569834476
2016-07-26;8000,0;9263,57617231565
2016-07-27;8000,0;9334,959029056969
2016-07-28;8000,0;9339,643059348862
2016-07-29;8000,0;9318,89470375277
2016-08-01;9000,0;10331,055980553778
2016-08-02;9000,0;10214,166881532472
2016-08-03;9000,0;10246,048509632798
2016-08-04;9000,0;10312,023662564197
2016-08-05;9000,0;10337,105386267735
2016-08-08;9000,0;10357,161665174286
2016-08-09;9000,0;10324,647470128886
2016-08-10;9000,0;10357,48380858051
2016-08-11;9000,0;10408,296616521613
2016-08-12;9000,0;10570,30714963681
2016-08-15;9000,0;10573,444708963358
2016-08-16;9000,0;10565,473538738192
2016-08-17;9000,0;10605,060810555118
2016-08-18;9000,0;10610,808738596812
2016-08-19;9000,0;10616,70247023238
2016-08-22;9000,0;10581,948978379678
2016-08-24;9000,0;10520,20104499042
2016-08-25;9000,0;10439,83486381863
2016-08-26;9000,0;10412,1929313522
2016-08-30;9000,0;10449,909037480187
2016-08-31;9000,0;10377,774145659452
2016-09-01;10000,0;11337,485795311455
2016-09-02;10000,0;11356,445669819645
2016-09-05;10000,0;11476,586984081674
2016-09-06;10000,0;11411,10209525277
2016-09-08;10000,0;11413,154059028082
2016-09-09;10000,0;11444,747714148609
2016-09-12;10000,0;11336,934955073779
2016-09-13;10000,0;11401,219790295208
2016-09-14;10000,0;11346,864386652529
2016-09-15;10000,0;11385,156081258252
2016-09-16;10000,0;11318,370234644002
2016-09-19;10000,0;11317,77578421025
2016-09-20;10000,0;11322,507111661329
2016-09-21;10000,0;11287,637860493658
2016-09-22;10000,0;11337,673735746592
2016-09-23;10000,0;11514,810824301227
2016-09-26;10000,0;11527,279925436143
2016-09-27;10000,0;11519,78364753764
2016-09-28;10000,0;11565,747587116479
2016-09-29;10000,0;11609,313021335449
2016-09-30;10000,0;11627,555562248823
2016-10-03;11000,0;12708,763137352278
2016-10-04;11000,0;12861,21059249184
2016-10-05;11000,0;12820,663494586273
2016-10-06;11000,0;12919,110168914014
2016-10-07;11000,0;12923,806411783185
2016-10-10;11000,0;12999,546780541848
2016-10-11;11000,0;13002,44076568529
2016-10-13;11000,0;12954,808529084206
2016-10-14;11000,0;12989,046446835237
2016-10-17;11000,0;12984,175155767723
2016-10-18;11000,0;12999,492852195413
2016-10-19;11000,0;13007,495971503142
2016-10-20;11000,0;13023,241808060611
2016-10-21;11000,0;13080,278479964183
2016-10-24;11000,0;13040,009185633611
2016-10-25;11000,0;13070,28951136844
2016-10-26;11000,0;12984,51823953049
2016-10-27;11000,0;12924,271726366595
2016-10-28;11000,0;12920,397966601782
2016-10-31;11000,0;12868,749813689461
2016-11-01;12000,0;13913,1718849871
2016-11-03;12000,0;13761,33457346063
2016-11-04;12000,0;13793,049577278392
2016-11-07;12000,0;13855,772287290458
2016-11-08;12000,0;13932,27487204991
2016-11-09;12000,0;13886,255208057106
2016-11-10;12000,0;13997,439139773931
2016-11-11;12000,0;13728,22624298308
2016-11-14;12000,0;13657,317146769772
2016-11-16;12000,0;13712,846988624216
2016-11-17;12000,0;13833,280835126036
2016-11-18;12000,0;13908,793756402785
2016-11-21;12000,0;13783,349654594578
2016-11-22;12000,0;13944,466145939945
2016-11-23;12000,0;13967,460886861267
2016-11-24;12000,0;13928,764465965935
2016-11-25;12000,0;13893,648838309542
2016-11-28;12000,0;13838,16959563172
2016-11-29;12000,0;13867,699236441536
2016-11-30;12000,0;13922,003892032479
2016-12-01;13000,0;14938,170077713152
2016-12-02;13000,0;14625,524003981252
2016-12-05;13000,0;14751,805761961976
2016-12-06;13000,0;14667,494145726167
2016-12-07;13000,0;14759,694809635777
2016-12-08;13000,0;14963,632392206564
2016-12-09;13000,0;15077,856155950587
2016-12-12;13000,0;14874,88965879291
2016-12-13;13000,0;14916,965653568259
2016-12-14;13000,0;14902,312565935908
2016-12-15;13000,0;15056,160374524754
2016-12-16;13000,0;15207,487383362262
2016-12-19;13000,0;15132,651650604555
2016-12-20;13000,0;15252,52776804471
2016-12-21;13000,0;15238,550845818647
2016-12-22;13000,0;15237,840986883999
2016-12-23;13000,0;15348,197904833016
2016-12-28;13000,0;15501,849488177479
2016-12-29;13000,0;15553,762296590283
2016-12-30;13000,0;15531,145247790771
2017-01-03;14000,0;16905,202339955904
2017-01-04;14000,0;16967,99822109192
2017-01-05;14000,0;16736,245579033006
2017-01-06;14000,0;16731,02853578089
2017-01-09;14000,0;16679,276617880674
2017-01-10;14000,0;16639,568660822097
2017-01-11;14000,0;16491,653723946136
2017-01-12;14000,0;16588,837601818406
2017-01-13;14000,0;16833,094523294814
2017-01-16;14000,0;17049,53279602513
2017-01-17;14000,0;17086,01151406536
2017-01-18;14000,0;16982,54274524737
2017-01-19;14000,0;16913,36891885633
2017-01-20;14000,0;16913,958176470194
2017-01-23;14000,0;16725,23749364379
2017-01-24;14000,0;16764,282318637506
2017-01-26;14000,0;16859,91900050906
2017-01-27;14000,0;16777,349614937957
2017-01-30;14000,0;16625,891432376728
2017-01-31;14000,0;16677,13785219889
