Date;Total Investido;Patrimônio Bruto
2016-02-01;1000,0;1000,0
2016-03-01;2000,0;2027,5265910343117
2016-04-01;3000,0;2945,300804673724
2016-06-01;4000,0;4004,210287913573
2016-07-01;5000,0;4962,227198608742
2016-08-01;6000,0;6132,874883356049
2016-09-01;7000,0;7121,505474923091
2016-11-01;8000,0;8405,239837194242
2016-12-01;9000,0;9729,725088826168
2017-02-01;10000,0;10534,876427190831
2017-03-01;11000,0;11874,901927381059
2017-06-01;12000,0;13190,673956846387
2017-08-01;13000,0;14057,567582172665
2017-09-01;14000,0;15316,223983680336
2017-11-01;15000,0;17024,982370464077
2017-12-01;16000,0;17895,071528898152
2018-02-01;17000,0;19231,95166907383
2018-03-01;18000,0;20244,409797913708
2018-05-01;19000,0;22098,467340212595
2018-06-01;20000,0;29881,945393475136
2018-08-01;21000,0;31344,231051939558
2018-10-01;22000,0;34490,59836085248
2018-11-01;23000,0;31977,923712450414
2019-02-01;24000,0;33085,35051870678
2019-03-01;25000,0;35588,72051646849
2019-04-01;26000,0;37593,56066116715
2019-05-01;27000,0;39556,81568170052
2019-07-01;28000,0;40161,632606451305
2019-08-01;29000,0;41085,716327468515
2019-10-01;30000,0;44322,624707820985
2019-11-01;31000,0;45396,05362830836
2020-04-01;32000,0;48030,34287349562
2020-05-01;33000,0;53987,24069670064
2020-06-01;34000,0;57372,73509330666
2020-07-01;35000,0;59545,56564570844
2020-09-01;36000,0;65654,31609409986
2020-10-01;37000,0;67660,56359539059
2020-12-01;38000,0;70981,11112423259
2021-02-01;39000,0;76283,17939049753
2021-03-01;40000,0;80367,17411662212
2021-04-01;41000,0;83425,35306799572
2021-06-01;42000,0;82683,66849768722
2021-07-01;43000,0;83086,59656905758
2021-09-01;44000,0;88157,01246334493
2021-10-01;45000,0;89978,23979589593
2021-11-01;46000,0;97210,14215029895
2021-12-01;47000,0;95932,10349605672
2022-02-01;48000,0;94599,27297589011
2022-03-01;49000,0;92204,88983740457
2022-04-01;50000,0;91028,42728622563
2022-06-01;51000,0;89198,14423300151
2022-07-01;52000,0;91507,7569100273
2022-08-01;53000,0;94317,98535922755
2022-09-01;54000,0;93467,66412927627
2022-11-01;55000,0;93257,7789896596
2022-12-01;56000,0;99581,21107443766
2023-02-01;57000,0;102074,82306685674
2023-03-01;58000,0;102926,54360088542
2023-06-01;59000,0;104984,2719397281
2023-08-01;60000,0;108095,25321834849
2023-09-01;61000,0;110119,86565228316
2023-11-01;62000,0;108409,00099475446
2023-12-01;63000,0;114063,51360921345
2024-02-01;64000,0;120128,57826266735
2024-03-01;65000,0;124862,69185839978
2024-05-01;66000,0;129007,5742311913
2024-07-01;67000,0;142724,55192331664
2024-08-01;68000,0;145595,30016798858
2024-10-01;69000,0;148860,32947593185
2024-11-01;70000,0;155225,56304794937
2025-04-01;71000,0;157141,10654552194
2025-05-01;72000,0;158056,75467374557
2025-07-01;73000,0;166299,86541601218
2025-08-01;74000,0;169291,4374061504
2025-09-01;75000,0;173183,6964550537
2025-10-01;76000,0;176207,70690931822
