;Bitcoin BRL;Bitcoin;IMID BRL;S&P 500 BRL;IVVB11;IMID;S&P 500;TD IPCA 2035;IPCA + 6%;SELIC;Carteira - AÇÃO;TD IPCA 2045;IPCA
2015-12-17;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;;100,0;;;
2015-12-18;102,00008053956483;101,65278621997645;98,98026015413654;98,554082804991;99,6838111083349;98,64324785060626;98,21852156867273;99,69985587138379;;100,052531;;;
2015-12-19;101,71538641243332;101,36906143181652;;;;;;;;;;;
2015-12-20;97,3950546706598;97,06343974384608;;;;;;;;;;;
2015-12-21;98,40475539151366;96,17631298828138;100,80546469814988;101,3232607571521;101,02152049568144;98,52265660501313;99,02872682119892;100,01485862022852;;100,10508959505961;;;
2015-12-22;97,79104481541403;95,7230974005344;101,43650981782758;102,08611534322283;101,72686137781311;99,2914732385771;99,92734182037519;100,43684343471865;;100,15767579967478;;;
2015-12-23;98,75286770818154;97,00117044337402;102,38904221994547;102,99168237906375;101,72686137781311;100,57284579582803;101,16479620848236;101,40413961159567;;100,21028962834913;;;
2015-12-24;101,28510474198045;99,76034415799407;101,89575006622565;102,54150599062442;;100,36179673940133;100,9978313609204;101,8320678741772;;100,26293109559381;;;
2015-12-25;101,433816169695;99,90681686241415;;;;;;;;;;;
2015-12-26;92,89018499840556;91,49180274777173;;;;;;;;;;;
2015-12-27;94,12546133012488;92,70848305132152;;;;;;;;;;;
2015-12-28;93,20045572173471;92,58920381747079;;101,43227165831337;99,11224209274943;;100,76703167933651;101,99551269669101;;100,31560021592763;;;
2015-12-29;93,8704608313627;94,93617296332013;100,71085862866187;100,69918342214741;100,37698838129454;101,85422985438994;101,84242209915766;102,7934206029628;;100,36829700387706;;;
2015-12-30;93,82695601518665;93,54101543523873;101,5607371407396;101,42970151956693;101,90927840293202;101,25122762118039;101,1205913351573;102,6715799170889;;100,42102147397615;;;
2015-12-31;94,69502162878328;94,40643559175642;101,04661441197369;100,41507144597995;;100,73867169749344;100,10905337842024;101,99997028275956;;100,47377364076664;;;
2016-01-01;95,52350798755036;95,23239711246025;;;;;;;100,0;;;;100,0
2016-01-02;95,32644397177108;95,03593365542608;;;;;;;;;;;
2016-01-03;94,5727400544676;94,28452667435899;;;;;;;;;;;
2016-01-04;98,51636577404564;94,95985349785383;102,15004600007853;102,4065107994556;101,0701656542542;98,46235523156108;98,70956146562028;102,16192924325047;;100,5265535187979;;;
2016-01-05;97,59489922664685;94,71186697896333;102,29838349794007;101,88631275796433;100,936393787708;99,27640652119732;98,87650868412008;102,59282922987771;;100,57936112262684;;;
2016-01-06;97,40664533520322;94,08588185132933;102,2185141995173;101,07509762699752;99,84190091510979;98,73370566143981;97,62927016652324;103,76666022793124;;100,63219646681816;;;
2016-01-07;104,42043027843606;100,43194392363775;101,28330262519086;99,07114775063305;98,50419152776323;97,41464330811748;95,28698482481516;104,3907222775293;;100,68505956594413;;;
2016-01-08;102,74771440467856;99,37554718160823;99,66817339027365;97,43902450602124;97,28809039779084;96,39707632074442;94,24108782596025;102,55122509323785;;100,73795043458473;;;
2016-01-09;101,47387706007022;98,14351702040929;;;;;;;;;;;
2016-01-10;101,56002456183569;98,22683717186835;;;;;;;;;;;
2016-01-11;101,414103466439;98,32265668430763;98,55723402989996;97,30040153585396;96,55843157543048;95,55287434438215;94,33435437923092;101,57649960624657;;100,79086908732752;;;
2016-01-12;98,89161965771942;95,52971194459812;100,13283194205107;98,44209731330596;97,19080008064537;96,72872812407522;95,09547150821828;102,18570303561611;;100,8438155387678;;;
2016-01-13;97,07651231496712;94,80198549806474;99,07263619715727;94,94839244291472;95,6585193371232;96,75133970145588;92,72372800366826;102,61363129819765;;100,89678980350847;;;
2016-01-14;97,48537942498248;94,34921153656224;99,08730731408093;97,3786981440588;96,42465970888429;95,89960436640371;94,24596226164296;101,75926063505743;;100,94979189616015;;;
2016-01-15;82,9061233949928;79,88348293756931;98,30791880614149;95,71244487369536;94,85588813784607;94,72375058671064;92,22290397723101;101,81869511597152;;101,00282183134112;;;
2016-01-16;88,18659100206465;84,97143213502736;;;;;;;;;;;
2016-01-17;86,9948743067994;83,82316375153196;;;;;;;;;;;
2016-01-18;88,01998244628503;84,890741667115;98,23890062399188;;95,95038101044429;94,74636216409127;;101,3967103014814;;101,05587962367734;;;
2016-01-19;86,29364977176257;83,35174780946691;99,86184318141234;95,60494252284133;95,46393870283227;96,45737769419648;92,34560224975039;101,63890581120636;;101,10896528780245;;;
