;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;Total
Bitcoin BRL;-0,053049783712167176;0,8681829003888604;13,909374511381507;-0,6903179587722992;0,9993662107634398;4,197861514353386;0,7146012830395359;-0,6658843366219047;1,369918455642432;1,8274168246652294;-0,17682165269025985;267,2354646940339
Bitcoin;-0,05593564408243579;1,238311371065147;13,6889789812707;-0,7356177886907107;0,9220344340849416;3,0316009017076615;0,5966792379843302;-0,6426524216644383;1,5541741941225533;1,2105474659257105;-0,056235344643479235;192,33355066697604
IMID BRL;0,010466144119736898;0,09923861323084582;0,1430185060327669;0,41111173236096854;0,3100533841090434;0,48718662958646375;0,2698429681489447;-0,22885773661412734;0,123622165384907;0,4853223471882626;0,06081386249428489;5,0512848435566795
S&P 500 BRL;0,0041507144597994206;-0,0652215626171081;0,23531487575881305;0,11782383220134163;0,3650351087149073;0,5256260697794506;0,38235952181177457;-0,23494965874952622;0,17073600564345193;0,5973693712201842;0,03896762035236989;4,546613554718124
IVVB11;0,019092784029320242;-0,09355612985411099;0,2315693019917482;0,09780859003737308;0,3506330169004095;0,5142382172859818;0,3976385780906184;-0,23354679836754444;0,14493326822916663;0,582625035480048;0,02222221556862025;4,068223188032792
IMID;0,007386716974934426;0,31702216469080646;0,12612201118844935;0,204696399981956;0,2593829490524524;0,15350186616009398;0,18250926486508745;-0,1752382465789788;0,21098121833574224;0,1612633560135226;0,2162110830614803;3,3615276087244794
S&P 500;0,0010905337842024299;0,11997878012111185;0,21705402405850927;-0,04568978091203735;0,3122380825287223;0,18331652769258056;0,28728747011903044;-0,18175375561104146;0,26175805189635826;0,24886461200010923;0,1862011533654111;2,981122095094158
TD IPCA 2035;0,019999702827595556;0,5123603362127986;0,1458885175160618;0,16869667549279166;0,39033617676251864;0,07731345445515858;-0,08930655129196297;0,01097805969913157;0,19065575566021487;-0,10028122371740944;0,15125489909686207;2,5134990564776154
IPCA + 6%;;;0,09124190902846685;0,0997021104913709;0,10564402383159988;0,10788381990540485;0,166647181868534;0,12131932477184248;0,10898380766400773;0,11121173539371187;0,09623134636271691;1,5977581838601762
SELIC;0,004737736407666393;0,14018573582685034;0,09939326176157026;0,06428760584606219;0,05959861833741886;0,027578158163065636;0,04423619738147466;0,12390989066133273;0,13039434525537819;0,10875983174468717;0,13570593204433345;1,4381489389107696
Carteira - AÇÃO;;;;;;0,0943060790147019;-0,012910937028973613;0,09742958278895286;0,26859489597102715;-0,0770653176092867;0,21542095071461698;0,6869121220703132
TD IPCA 2045;;;;0,21493763967990787;0,627874961429826;0,07523620669543929;-0,23168664569320885;-0,09415180423060987;0,24797365754812573;-0,19179247786919795;0,20063168265190834;0,7923004830221334
IPCA;;;0,029473499083458865;0,037454821218273926;0,04306039984113208;0,04517341500509864;0,10061054893257904;0,05784841959607778;0,04621113930566789;0,04831295791859569;0,039214441389105126;0,5450934675845736
