;IMID BRL 71.25 + TD 2035 23.75 + BTC 5;IMID BRL 70 + TD 2035 25 + BTC 5;IMID BRL 57 + TD 2035 38 + BTC 5;IMID BRL 47.5 + TD 2035 47.5 + BTC 5;IMID BRL 71.25 + TD 2045 23.75 + BTC 5;IMID BRL 70 + TD 2045 25 + BTC 5;IMID BRL 38 + TD 2035 57 + BTC 5;IMID BRL;IMID BRL 57 + TD 2045 38 + BTC 5;IMID BRL 23.75 + TD 2035 71.25 + BTC 5;S&P 500 BRL;IMID BRL 47.5 + TD 2045 47.5 + BTC 5;IMID BRL 38 + TD 2045 57 + BTC 5;IMID BRL 23.75 + TD 2045 71.25 + BTC 5;TD IPCA 2035;IPCA + 6%
2015-12-17;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;100,0;
2015-12-18;99,30215515625417;99,31115010271976;99,40469754596192;99,4730591391004;99,37343938680053;99,38618613487382;99,54142073223889;98,98026015413654;99,51875231483608;99,64396312194663;98,55408264742552;99,61562760019311;99,71250288555012;99,85781581358567;99,69985587138379;
2015-12-19;99,28829696112582;99,29729065229415;99,39082504044481;99,45917709332412;99,3595712435419;99,37231621273212;99,52752914620343;;99,50486389231052;99,6300572255224;;99,60172565815625;99,698587424002;99,8438800727706;;
2015-12-20;99,07743487030682;99,08640946125304;99,17974520709386;99,2479520982852;99,14855778499204;99,16127568723748;99,31615898947655;;99,29354187059019;99,41846932626358;;99,39019792765562;99,48685398472105;99,6318380703192;;
2015-12-21;100,50487304530655;100,49505071851341;100,39269528295371;100,31766257591661;100,50262118133217;100,49265598980782;100,24243184317136;100,80546469814988;100,38867044047723;100,12921444585072;101,32327870709112;100,31227997272312;100,23555085922176;100,11982222819353;100,01485862022852;
2015-12-22;101,02252398480324;101,01008742970801;100,8805727395385;100,78572613671679;100,91955035933783;100,90168024120433;100,69070971681964;101,43650981782758;100,71557477405449;100,54786693190869;102,08613334659195;100,57927956133503;100,44273586213536;100,23745572283059;100,43684343471865;
2015-12-23;101,97918626832183;101,96693555306166;101,83934750663828;101,74590179782331;101,64440054894857;101,614558202952;101,65228031692335;102,38904221994547;101,30418876006937;101,51151875182249;102,99167350987994;101,07737114362875;100,85054720723204;100,5103022326876;101,40413961159567;
2015-12-24;101,86208016798768;101,86136304308242;101,85356022392887;101,84746006580644;101,42580512876074;101,40214647175907;101,84102334506973;101,89575006622565;101,15587433296176;101,83073644829715;102,54148818141245;100,97565120076626;100,79521412638184;100,52416013456995;101,8320678741772;
2015-12-25;101,8695580964602;101,86884091890913;101,86103752693276;101,85493692098377;101,43325102928394;101,40959063544611;101,84849972771264;;101,16330041724734;101,83821207575541;;100,98306405445916;100,80261373377608;100,53153984327021;;
2015-12-26;101,44054144066249;101,43982728345551;101,43205675492915;101,4259818412636;101,00607185076956;100,98251110105727;101,41957175779035;;100,73725811721725;101,40932743157363;;100,55778080750697;100,3780904409708;100,10815815955945;;
2015-12-27;101,5079904934987;101,50727586143988;101,49950016619434;101,49342121324464;101,07323201947808;101,04965560393606;101,48700686762875;;100,80423954839681;101,47675572983461;;100,62464290203496;100,44483305718317;100,17472129450672;;
2015-12-28;101,49680727910405;101,49812926974488;101,51153270997588;101,52092865799338;101,02356782386357;101,00000299302789;101,52998721747781;;100,75470752719123;101,54294135898073;101,43228059909323;100,57519912895205;100,39547763698191;100,125498598699;101,99551269669101;
2015-12-29;100,88093636040763;100,90692888695274;101,17694514765823;101,37390929449398;100,2228711702126;100,21417405135595;101,57057064322991;100,71085862866187;100,1230980750143;101,86498973077364;100,69917486714151;100,05582084416457;99,9879347771654;99,88496530784775;102,7934206029628;
2015-12-30;101,45676094041885;101,47076260953776;101,61570189697929;101,72083514394512;100,8231530717864;100,80383277314968;101,8253046691398;101,5607371407396;100,60238149951172;101,98076110038521;101,42971046012028;100,45456889228596;100,30625338103059;100,08284157355362;102,6715799170889;
2015-12-31;100,9801362780995;100,99219607723917;101,11691255282922;101,2072362998057;100,5061406105528;100,49325969853406;101,296870223585;101,04661441197369;100,35863436110563;101,43002494282098;100,41503608971578;100,25948957649437;100,15970045325406;100,00881144751426;101,99997028275956;
2016-01-01;101,02431001816198;101,03637509285832;101,16114612564526;101,25150938472646;100,550107001307;100,53722045453593;101,34118251884749;;100,40253622528101;101,47439548658829;;100,3033480698039;100,20351529383196;100,05256028172731;;100,0
2016-01-02;101,01388941246874;101,0259532426588;101,15071140537776;101,24106534353523;100,53973530941138;100,52685009188099;101,33072922791852;;100,39217975523516;101,46392845481014;;100,29300183096535;100,19317935269294;100,04223991152028;;
2016-01-03;100,97395581116142;100,98601487218373;101,11072371452946;101,20104193326097;100,49998915441488;100,48710903076949;101,29067037101574;;100,3524919330551;101,42381694054656;;100,25335321657849;100,15357020090943;100,0026904302979;;
2016-01-04;102,00819145458266;102,00859377082767;102,01189939996387;102,0133019865742;101,49147055329797;101,46474683876254;102,01384972269652;102,15004600007853;101,18635932511599;102,01306973165292;102,40651982611008;100,9823937571761;100,77798556659536;100,47055057667397;102,16192924325047;
2016-01-05;102,1682135378595;102,17214299970759;102,21213086783057;102,24033895456446;101,54901491947797;101,52043427370536;102,26769080071062;102,29838349794007;101,22279202110884;102,30711289792002;101,88631265591933;101,00482203489062;100,78646566473743;100,45821425286334;102,59282922987771;
2016-01-06;102,379156314036;102,39870374377782;102,60118631064546;102,74821584864684;101,482730850004;101,45515963361869;102,89444940487459;102,2185141995173;101,16798259537143;103,11230052627663;101,07509741065321;100,95762227252901;100,746843383505;100,42989766139476;103,76666022793124;
2016-01-07;102,2265953594808;102,26552235036772;102,66999107753117;102,96512873177315;101,18655321513894;101,17066530962549;103,25989117135714;101,28330262519086;101,00462157024661;103,70131699291738;99,0711564832909;100,88235009896569;100,75929433269546;100,57324517632958;104,3907222775293;
2016-01-08;100,55539586535647;100,59154577671909;100,96704243807008;101,24090412421229;99,95582728870144;99,9602992899121;101,51430303225399;99,66817339027365;100,00563110926608;101,92352001210688;97,4389966402535;100,03739883077697;100,06801717225946;100,11178682266537;102,55122509323785;
2016-01-09;100,49306298564362;100,52919048818313;100,90445438441972;101,17814630754332;99,89386607314094;99,89833530222076;101,45137573943603;;99,94363902101564;101,86033905142196;;99,97538705016147;100,00598641176349;100,04972892997692;;
2016-01-10;100,4973287270205;100,53345776310452;100,90873758858719;101,18244112941777;99,89810637973669;99,90257579852687;101,4556821593856;;99,94788144037935;101,86466283109436;;99,97963081716927;100,01023147765657;100,0539758526576;;
2016-01-11;99,4651188651865;99,50293978267071;99,89590771063915;100,18264379768753;99,09755934173717;99,11591234546745;100,4690072418006;98,55723402989996;99,30568865887801;100,897839693439;97,30040102075175;99,44310308055333;99,57944097319961;99,78191857260452;101,57649960624657;
2016-01-12;100,61605164852804;100,64188583428066;100,90962810392956;101,10420372331801;100,10308420703102;100,10181681915647;101,29785941835596;100,13283194205107;100,08709762147383;101,5866063187713;98,4421242399865;100,07456612185761;100,06053550148113;100,0366786738184;102,18570303561611;
2016-01-13;99,86475071075341;99,9089801010904;100,36860320628568;100,70405418766074;99,25605199283831;99,26804367109344;101,0391338404928;99,07263619715727;99,39120957022351;101,54103682596582;94,948400812171;99,47942518902556;99,56612388479603;99,69331775672082;102,61363129819765;
2016-01-14;99,69884072227127;99,73241355160631;100,08065399748833;100,33407111297655;99,28742686092671;99,29923857908334;100,58657845557322;99,08730731408093;99,4205298049552;100,96361546948205;97,37873405011584;99,5073719683875;99,59269432194006;99,71781840529911;101,75926063505743;
2016-01-15;98,40841475402962;98,45208695925778;98,90579209543374;99,23677504480476;97,98855311573563;98,00997350714417;99,56726428950307;98,30791880614149;98,23135117059482;100,0620496541965;95,71239842195655;98,39151040343694;98,55029551738697;98,78587955078726;101,81869511597152;
2016-01-16;98,7218068323784;98,76561811639569;99,2207681249023;99,55280512472888;98,30060809997742;98,32209670690392;99,8843468476276;;98,54417937110296;100,38070790901492;;98,70484864808076;98,8641394301385;99,10047370598541;;
2016-01-17;98,65510257266496;98,69888425431412;99,15372672748128;99,48553937685296;98,23418843543641;98,2556625229607;99,81685708394507;;98,47759513054932;100,31288276454657;;98,63815584665771;98,79733899926622;99,0335135889868;;
2016-01-18;98,5667713687066;98,60626682302674;99,01630984793854;99,31512797291379;98,2429272179227;98,26526548444116;99,61323514048716;98,23890062399188;98,49620763217963;100,05904110352152;;98,66337744738297;98,82919067242557;99,07534908559143;101,3967103014814;
2016-01-19;99,68623394090433;99,70875944469671;99,94148118833334;100,10975897480894;99,30297944046335;99,30526651295538;100,27651873226841;99,86184318141234;99,3271177245802;100,52379648359361;95,60497832689234;99,34085204607393;99,35269786719651;99,36692176248657;101,63890581120636;
2016-01-20;98,16778904208547;98,1870676753425;98,38596821382232;98,52946958141575;98,35960720030722;98,38894095789861;98,67140272904852;97,68423337355573;98,69216397086241;98,88134891708515;95,68649706627689;98,91160414600402;99,1292169725125;99,4521803582261;99,1857476114768;
2016-01-21;100,16553245790246;100,11867530528762;99,62819481075351;99,26613118891414;100,80184488787418;100,78843800000928;98,90101777909194;101,13684521808601;100,64558519789588;98,34766925744019;97,86388639162375;100,53724945298738;100,42558881660683;100,251874143268;97,31504732470543;
2016-01-22;99,88115242652376;99,81606376514083;99,13701020034435;98,63834959473633;100,75618122430335;100,73695043333781;98,13767221036129;101,60485558939652;100,53362478852152;97,38294212817661;99,08812416070832;100,38121216303357;100,22557651950083;99,98609991256023;96,33735011366845;
2016-01-23;99,9464224410701;99,88129124575788;99,20179393521981;98,70280746648156;100,82202304985677;100,80277969201576;98,20180290105817;;100,59932117861044;97,44657962028451;;100,4468089550097;100,29107160719674;100,05143850785252;;
2016-01-24;100,14606213956047;100,0808008468233;99,39994626270916;98,8999630848768;101,02341173182516;101,00412993600847;98,39795777927743;;100,8002650209003;97,64122596478757;;100,64744815913853;100,49139973108477;100,25128797248956;;
2016-01-25;99,811077405781;99,75767726481295;99,19928284893044;98,78775068191861;100,56041279865087;100,54638776825715;98,37331278074902;101,18892482787567;100,3970895721751;97,74626365091697;97,04588995055273;100,28402503227997;100,16762047923817;99,98676289503582;96,83957147739261;
2016-01-26;99,57728708525903;99,5292034686922;99,02577673644993;98,65403572497658;100,30947633330933;100,29990885205731;98,27906623454832;100,83285975035827;100,19690288310852;97,71060701201789;98,28593565291672;100,11758747392017;100,03486088625124;99,90437947821846;96,90197768235241;
2016-01-27;99,54741947644786;99,52131325297418;99,24518598442424;99,03807216429374;99,96449924210062;99,96052613568813;98,82646500321137;100,38557796368019;99,9156486050348;98,50064251773735;95,98466805921134;99,87874618374771;99,83837243592642;99,7712980705802;98,18279074605132;
2016-01-28;99,04849550988448;99,02692825207754;98,79788996572394;98,62504866751716;99,49079140861777;99,49270183460123;98,44759181363837;99,91440654971345;99,50899988179471;98,17275566583743;97,41496253454082;99,51678294171201;99,52107279832776;99,52094267554628;98,06986523231453;
2016-01-29;100,69785017493251;100,67672007410566;100,45212831395231;100,28242029980841;100,70680670990701;100,68634510844842;100,10799775882589;101,71363065564537;100,46988860936096;99,8375257143005;98,78781873983436;100,30750076028407;100,14157129893906;99,88606059377739;99,89896138244603;
2016-01-30;100,68167645951951;100,66054975253114;100,43599406547375;100,26631330920195;100,69063155592856;100,67017324093656;100,0919187833214;;100,45375150828959;99,82149018101319;;100,29138974134703;100,12548693097702;99,87001726499766;;
2016-01-31;100,55540339008357;100,53430317981471;100,31002912628648;100,14056118043533;100,56434725517873;100,54391459862153;99,96638537689681;;100,32776429805072;99,69629594106732;;100,16560616218975;99,99991142401151;99,74476216329361;;
2016-02-01;99,46681720868133;99,47331394415873;99,53540441616377;99,57443127533502;99,35843415874248;99,35944890532132;99,60806590920737;99,99770650670531;99,36587574972609;99,6483450185408;97,67246885009166;99,3658041294206;99,36169870778653;99,34796388220171;100,38929584998738;101,39113585204306
2016-02-02;98,83425730946117;98,88595098851138;99,41844640167447;99,80158766876743;98,24317590910337;98,26392402871353;100,17957555019146;98,40797866307491;98,47563883062703;100,73670936671701;95,75150740590621;98,62563765007442;98,77162640711136;98,98303742915706;102,44572888961531;
2016-02-03;96,00275793115361;96,06409070174348;96,6976619591781;97,1556128165837;95,94909390532544;96,00780730133582;97,60919741259498;95,32748792915537;96,61540031420668;98,2811777751112;95,45441688428812;97,05585950079376;97,49325266203917;98,14346255265494;100,16047309846807;
2016-02-04;95,47033620871944;95,54701530077556;96,34139149975452;96,91822684008616;95,36152887479554;95,43264027401729;97,4918378181569;94,31411622185779;96,17011145602375;98,34596311675998;93,41692017604316;96,70655639674854;97,24083288136094;98,03803052032517;100,40415447021589;
2016-02-05;95,64701724646667;95,72381383389465;96,5194039594555;97,0971169558356;95,49477177094113;95,56368083230151;97,67159740476032;94,49609384847517;96,27804201515457;98,5270111515603;92,40069435270799;96,79736259030881;97,31431640885994;98,08516077107336;100,59583067116387;
2016-02-06;95,52296397189342;95,59966095487559;96,39421920758627;96,97118291568717;95,37091595730624;95,43973564426733;97,54491826891606;;96,15317030743883;98,39922255219633;;96,6718173287306;97,18810066308012;97,95794524746387;;
2016-02-07;95,52420699099936;95,60090497202232;96,395473564143;96,97244478014444;95,37215699784515;95,44097758034152;97,546187599264;;96,1544215272798;98,4005029994161;;96,67307529761;97,18936535023984;97,95921995244011;;
2016-02-08;94,21210212645114;94,31007794287002;95,32809434329775;96,07082990110794;94,06214066710376;94,15230993032841;96,81240991640311;92,73023190675029;95,08971145598872;97,9223312944801;91,15687978598544;95,77424384824153;96,45827181331562;97,48319263762914;;
2016-02-09;93,94968275087332;94,05256628063542;95,12226300012783;95,90350261571795;93,80013899574476;93,89522905029696;96,68420837523584;92,32272530481379;94,88439482645303;97,85398106270294;91,16178645676084;95,60743312900551;96,33053923114484;97,415148926628;;
2016-02-10;95,35704738174024;95,45383727172366;96,45916585644804;97,19221881330269;94,9933534572431;95,07086660902743;97,92376711469403;93,80047730374906;95,87497931580566;99,01798213769769;92,10438249509097;96,46018488821836;97,04325984986974;97,91369923493845;101,55272581388093;
2016-02-11;94,32266072281142;94,44057174090969;95,668235997683;96,56684690671818;93,90679520401363;94,00254792139012;97,4665482315089;92,29082880260327;94,99821943909164;98,81784169600347;91,4368056707184;95,72555658709494;96,45256559789703;97,54226499243568;101,80532235776585;
2016-02-12;95,85363127790592;95,94637284050114;96,90828377847286;97,608075202218;95,45542925170992;95,52708959654821;98,30504938128634;94,3071479489386;96,26909806923453;99,34490805132428;93,90812399650981;96,80748635319375;97,3425242846676;98,13860366016871;101,69388270605191;
2016-02-13;95,9483839063119;96,04121714521298;97,00407894533204;97,70456212249175;95,54978825195477;95,6215194340262;98,40222527008967;;96,36426139225865;99,44311185467653;;96,90318188041638;97,43874870421938;98,2356150150952;;
2016-02-14;96,1365543211772;96,2295696211862;97,19431975018595;97,89617668899423;95,73717695579388;95,8090488144014;98,59520806770324;;96,55324741063782;99,63813600048665;;97,09322480968562;97,62984196729644;98,42827106285091;;
2016-02-15;98,00604255730234;98,09496573732875;99,01643266387224;99,68582375746138;97,19624623294322;97,242130168407;100,35168476522487;96,43984549964372;97,71360633086084;101,34353929970787;;98,05148129755223;98,38364993997178;98,87105384973876;103,4947474777492;
2016-02-16;99,54447672218356;99,63457712313819;100,56821139693304;101,24640455705838;98,37597059804877;98,40397569074645;101,9209897499688;97,90253824320983;98,68842350788039;102,92577996112561;96,26395060855928;98,88839126222041;99,08163855092482;99,35881213334419;105,0459874296073;
2016-02-17;101,15511804013497;101,20090870412533;101,66877743523952;102,00093180105014;100,24366026536661;100,24152282853065;102,32472863701545;100,34397070421267;100,21134833430648;102,79451395389681;98,09183499315898;100,18013030061334;100,1411724681603;100,06823091276682;103,80529264052541;
2016-02-18;100,79273445840904;100,85559654239609;101,50194634960982;101,96558070353228;99,74209412267584;99,74954235733958;102,42170945536108;99,57718969426394;99,81906574250587;103,0915183280249;97,140065736586;99,86069517028314;99,89455853466843;99,9307626457909;104,42638296607775;
2016-02-19;100,84657456685638;100,8745131456875;101,15510061573045;101,34855291021756;100,28242822088491;100,28097948404029;101,53212218130805;100,29093997716048;100,25786034943458;101,78876785003756;98,06571392764812;100,23167344838167;100,19764022713589;100,13188362286382;102,27931234305584;
2016-02-20;101,04284651201463;101,07083946611075;101,35197302756798;101,54580182723932;100,47760220013653;100,47615064369788;101,72972836874837;;100,45298651363707;101,98687353232769;;100,42674864650989;100,3926491883437;100,3267646057374;;
2016-02-21;101,06173007539164;101,08972826099833;101,37091436257701;101,5647793862716;100,49638012687367;100,49492829915845;101,74874030120364;;100,47175984002999;102,00593352179209;;100,4455170693946;100,41141123849344;100,34551434293542;;
2016-02-22;101,57038731018126;101,60468537211442;101,95153517966303;102,19353864527474;100,75843322676627;100,75027111497319;102,42575163516472;100,82637079410873;100,65731228563229;102,75550462723766;97,33828090859033;100,58007672294684;100,4949981742434;100,35270601291508;103,32387334512117;
2016-02-23;101,23454032537948;101,29358040117857;101,89874700586805;102,33062115737756;100,11039184421531;100,11035739094723;102,75357335306387;100,17986981660987;100,10189319427924;103,37094292257909;96,26905804343589;100,0863513760835;100,06290619898542;100,01291943776076;104,68343709603126;
2016-02-24;101,2139094015787;101,27295378554165;101,87816811163688;102,3100805007336;100,11428830827947;100,11554886007036;102,73307377290624;100,0761973687679;100,12055115232359;103,35051027354463;97,23594346428222;100,11484612585441;100,10123165749442;100,06597445463916;104,57645503038586;
2016-02-25;101,75912784237234;101,82083959653423;102,45390696624119;102,90629780669882;100,46878774054511;100,46264901147413;103,34986827632358;100,66826411183408;100,3906658575258;103,9983433337875;97,18035922434015;100,32867737694463;100,25877341925076;100,13909983531772;105,38922155688621;
2016-02-26;103,28940428326187;103,32221558634811;103,65247269206439;103,88104267850409;102,04963435500612;102,01765107997092;104,09871395520778;102,73231633245268;101,67696687839663;104,40457087389608;97,39476888202074;101,41876063951203;101,15280982533075;100,73948772150074;105,08016225613291;
2016-02-27;103,29379020124605;103,32660289757958;103,65687402681152;103,8854537188858;102,05396762935986;102,02198299623744;104,10313423843851;;101,68128432838776;104,40900414455147;;101,42306712544162;101,15710501834536;100,74376536385891;;
2016-02-28;103,30555186574249;103,33836829833088;103,6686770342593;103,89728275381928;102,0655881200539;102,03359984496498;104,11498805981105;;101,69286238307534;104,42089279414756;;101,43461577793471;101,16862338676167;100,75523666688699;;
2016-02-29;103,19392758244324;103,22310754526126;103,5154776458015;103,71622983426624;102,05299262680359;102,02259266921108;103,90598240532056;102,60469876672428;101,69831438708452;104,16979149167838;97,16319082946524;101,45202446092992;101,19792555276696;100,80225462462089;104,65669157961992;
2016-03-01;104,21819872057189;104,23357799435304;104,38185576977659;104,47669015093766;103,007440018364;102,9597513133777;104,56003914395744;103,97281510596545;102,45621028116942;104,66340600346808;99,7395704094589;102,07957396467239;101,69571421305383;101,10656519492633;104,90928812350484;102,32276638071099
2016-03-02;102,3080430088395;102,34129378066041;102,67594336261104;102,9075153110416;101,27782374415011;101,2571975682502;103,1280102218027;101,85120069701763;101,03376990403939;103,43776327315291;98,18705143329679;100,86024586280789;100,67811043276411;100,38885228058989;104,23024917906123;
2016-03-03;100,99337955624318;101,06369870365015;101,78540051416394;102,30150752954725;99,74631530546182;99,75099231167552;102,80786150795656;99,84017014220619;99,79022391599811;103,54868301418665;97,02969302128872;99,80802476123417;99,81663692563572;99,81231121485811;105,22726259639529;
2016-03-04;102,45818749144908;102,74106431763832;105,69044737938604;107,85373278813009;97,78302847399529;97,81692106407161;110,02300079464533;97,4934628138852;98,16031134393839;113,28663976491985;94,01827777544656;98,40068685849558;98,63206223542686;98,96210034333406;120,37414005735427;
2016-03-05;102,32892405668201;102,61144399943359;105,55710605660042;107,71766221833002;97,65966331956551;97,69351315002727;109,88419343005786;;98,03647020139248;113,14371492379422;;98,2765424530733;98,50762592189383;98,8372476466844;;
2016-03-06;102,42008425878247;102,70285588575057;105,6511420997814;107,81362300310452;97,74666388883118;97,78054387457321;109,98208427932722;;98,12380645083671;113,24450953307922;;98,36409257200931;98,59538190262222;98,92529727247283;;
2016-03-07;102,69439671760804;102,92073107487563;105,2633721977265;106,96160628557192;98,75608639667185;98,77522526937746;108,64744322516874;98,69719740444903;98,96448246193779;111,15133536964099;95,42422541021018;99,0914512454362;99,20880357751547;99,36672017026731;116,49752603973194;
2016-03-08;102,02252104575848;102,23000983544097;104,37222471464827;105,91892791949856;98,51113741541154;98,53468126274477;107,44901552724441;98,34128313461822;98,76987172083987;109,7114993704215;94,63016278427729;98,93053774375652;99,08168663125014;99,29046271718934;114,50498506708666;
2016-03-09;101,71317088821456;102,00164271394436;105,00562462994345;107,20434831112378;97,14375926682325;97,18937894019976;109,4049223348319;96,55259077551392;97,65490173641159;112,7070570956862;93,14595760735745;97,98469802906573;98,30560696716262;98,7700965866686;119,73521938752769;
2016-03-10;100,8587736103901;101,19741489982559;104,74078381484722;107,35405342158731;95,81353427674254;95,88156422784978;109,98641506308336;94,72186767919779;96,5815338905837;113,9685824306575;92,37252043347154;97,08420357445335;97,57923968522847;98,30716683144476;122,40382758057086;
2016-03-11;100,85849938920524;101,18297970307029;104,57342222387437;107,06835260560084;96,00332137603328;96,06807945397179;109,57674584831764;94,991101533415;96,73372318358399;113,36228423640495;92,76592802795419;97,21096984960549;97,68030357019077;98,36916663686549;121,38155450884831;
2016-03-12;100,7381215513034;101,0622145875581;104,44861050700827;106,94056310969889;95,8887383480423;95,95341913514804;109,44596250502559;;96,61826839772503;113,22698273223193;;97,09494545461939;97,56371901043046;98,25175989705018;;
2016-03-13;100,76799137401935;101,09218050697895;104,47958052541568;106,97227201603982;95,91717028195974;95,98187024754145;109,4784142864035;;96,64691664432445;113,2605556225022;;97,12373504055455;97,59264759223718;98,28089248960265;;
2016-03-14;101,59201639402849;101,93417349916956;105,51442084108376;108,15498139875366;96,30415288842507;96,36272795012619;110,81489765950468;95,49670317637595;96,96353932285828;114,8388414141764;92,56522142214891;97,3928092924679;97,81367330704828;98,42893347313978;123,4989078914132;
2016-03-15;102,59076883863591;102,85050164837746;105,53940091569014;107,48880806518832;98,1994813075419;98,22806469038309;109,4235489026049;97,96586914703133;98,51458420994305;112,29517501962096;94,65085002771187;98,7114926366683;98,8977930892276;99,15721259477357;118,37714149864044;
2016-03-16;104,2097682762146;104,3851730986357;106,1705121958917;107,42922479035238;100,59725167710063;100,58672859412047;108,64789946150492;101,14172099278824;100,46495484662587;110,39853388774645;97,66860894669227;100,36175939886367;100,2465984618613;100,05149366175188;114,07259921843658;
2016-03-17;101,42854764435054;101,74146790290715;104,98573026529479;107,34260689216836;96,58733249288422;96,64451583733728;109,68512616498336;95,72906300774603;97,22645192664926;113,16690049547928;94,07063291492997;97,6368201989225;98,03443773944892;98,6066280756037;120,39939971174276;
2016-03-18;101,78163701291203;102,1332254598587;105,79326228792966;108,46958995582172;96,28971070498868;96,34903341276915;111,14460124736969;95,54557238823425;96,95341718186354;115,14921188863264;93,66546729242154;97,38041204192348;97,79483678416968;98,3925620499007;123,72624478090965;
2016-03-19;101,79277074427624;102,14439765092382;105,80483484460123;108,48145527171951;96,30024368327031;96,35957288026742;111,15675917849741;;96,9640227619409;115,16180787774807;;97,39106433028934;97,80553440579884;98,40332505574585;;
2016-03-20;101,83382827416061;102,18559700750298;105,84751061751496;108,52521064412122;96,33908583388657;96,3984389609748;111,20159361937615;;97,00313264403907;115,20825773203443;;97,43034645715329;97,84498370678908;98,44301547216399;;
2016-03-21;102,69363268262322;103,05921655844745;106,8692678956471;109,66035220911753;96,80490214501035;96,85646740585433;112,45442428523901;96,185845053523;97,37952902198651;116,645618722428;94,01376564401336;97,74637474960231;98,1000671835706;98,60565233195015;125,60586023981814;
2016-03-22;103,59072976655624;103,9605185517803;107,81479686036495;110,63875347953686;97,43433685332245;97,4758017389519;113,46614104095785;97,01491723285652;97,8930910498885;117,7080908897749;93,55864190371575;98,18183175749795;98,45677056069616;98,84307909883644;126,78712054798591;
2016-03-23;105,42441418512058;105,81755322389725;109,92192659973365;112,9369931556015;98,51875804640738;98,54272706802176;115,96250454243986;98,44471343597606;98,7770278125867;120,51468615241944;94,12121823073397;98,9309113001789;99,07009837355845;99,25122801223478;130,29524078394078;
2016-03-24;104,3216978732429;104,67228631573293;108,31697247190112;110,97622952221613;98,2650116111691;98,29401395095749;113,62907374510462;98,03751459921212;98,58083788258816;117,59059483040393;95,15344386944304;98,77329066949697;98,95118561929407;99,19059906462498;125,96989643541701;
2016-03-25;104,33150622684768;104,68212763175573;108,32715646227958;110,98666353664524;98,2742505135308;98,30325558012686;113,63975718064869;;98,59010647901938;117,60165072920739;;98,78257736039009;98,96048903591736;99,19992499096368;;
2016-03-26;104,34110972329897;104,69176340217238;108,33712774995948;110,99687962637653;98,28329645229076;98,31230418874239;113,65021748208856;;98,59918149165885;117,61247571464362;;98,79167008957074;98,96959814149483;99,2090561361189;;
